CompanyCode,FiscalYear,DocumentNo
16650,2007,7114592230
83745,2016,4383132901
51520,1970,0149970435
26662,1997,0090451176
39247,1998,8049335780
87156,1983,6540454213
60824,2021,5049333955
65367,1987,0825187044
8641,1979,0519692779
42778,1982,6974983218
30055,2020,7743333133
84483,1984,6794215909
65513,1986,1898659182
86974,1995,5510973796
21493,2007,2801372780
70234,1978,3155654679
52510,2007,4854292562
69468,2015,7512137790
78720,2005,3827891859
83638,1990,9654139819
58777,1993,1370295522
73720,2002,9967825756
76076,1982,7823214060
61584,1983,7834435432
60110,1988,1681070738
28484,2023,7901422254
36199,2002,3018701725
41939,1980,8075947855
98663,1980,8630119138
30183,1982,7187230431
12023,2019,9115698235
77665,1976,6320694923
72988,2011,7389482161
15119,1992,2147474613
60207,2008,6412914693
10997,2007,1528447046
34452,2021,5309073190
44132,2007,5384561627
47289,1986,0373820388
92157,1978,5418558967
19985,1994,5404945978
55817,1986,6747512011
22480,1977,7364927037
49477,1999,2856845638
81189,2001,2258391555
46601,2013,7040990826
86529,2013,6970599981
99988,2007,9674667947
36450,2009,2879940566
43493,2014,9151926848
81541,2012,3846219603
51256,1993,3448154048
13417,2022,5041573244
88295,2006,8815724861
9878,1976,0720193149
25322,1991,3376237130
86807,1973,5837592711
86661,1991,2883879979
75597,1994,2521560495
60816,2003,1106540490
86129,1981,9584403139
34432,2017,2210102360
60192,1978,5356412810
23472,1975,4803684405
23629,1980,7530407711
36364,1993,0463509511
56674,2011,5838264448
41404,1992,5681731798
11573,1976,7361961257
93562,2004,9810089161
50338,2015,9481392065
40495,2009,2128906563
53322,2021,2594926091
33777,1995,1740933888
39559,1982,3464867827
84315,2001,6394531697
73599,2022,4341380386
66735,1980,0288714683
7347,1988,9474006381
15325,1989,5965285311
44841,1973,2961254533
97416,2000,3411176189
64749,1983,2012943330
28317,2022,3626303145
22451,1995,8253110846
5591,1980,3720662354
48635,2019,9596200030
38502,2011,9268747068
17183,1983,6910015398
21951,1992,2424121870
40761,2024,0183393841
40830,2021,6330761423
89822,2009,0333497192
74695,2005,1749042983
96036,2008,1218146788
51543,1977,3164325348
30522,1979,4285627964
77362,1997,0512838993
13251,1980,7292991524
3974,2018,2029260558
13178,2015,2713361682
96878,1997,3174065521
92635,1992,3674403509
91184,1986,6064390744
72401,2003,2418498319
33426,1986,2110437913
40194,1990,9418708343
12708,2011,7251366091
23979,2022,6643882813
3701,1975,4728068599
38949,2023,4806965276
47902,2001,4597371763
26279,1977,8072687432
19020,1987,0608457826
84879,1993,7544797317
696,1995,8304768456
61333,2000,0324011238
24254,1995,6454529056
91898,2008,4537899692
64170,1989,4356000976
71686,1985,6901572172
11272,1987,6665213212
21308,2010,6622467516
24978,1988,7272517647
22148,1988,7580791964
68717,2014,1476204519
10625,2021,1258705281
72843,2001,3683838534
25134,2016,8107198530
75572,2003,8119162035
112,2015,3480396560
48098,2024,2731954203
24333,2013,0509348341
13356,1987,0564840006
63731,1974,8283406297
56942,1977,6800000851
12848,1972,3819072419
43596,1988,0695344192
60778,2012,8095397727
73135,2014,1543109593
4877,1990,7049017308
19175,2024,6945497332
73160,2002,4281475412
