CompanyCode,DocumentNo,FiscalYear,LineItem,SpecialGLInd,SpecialGLTrans,CustomerNo,ClearingDoc,ClearingDate,AllocationNo
16650,7114592230,2007,653,4uP0,12KP,2701,7859biKVC9,1986-06-21,6329xZfyW2
83745,4383132901,2016,608,8XK4,00YL,27322,3094QuaVi8,2009-02-25,0410BumOp6
83745,4383132901,2016,963,7YO1,55PS,69053,7830TUsDY7,2015-11-27,0470TUSJv9
51520,149970435,1970,219,2SF4,17Rk,4534,1494iAUBI8,2010-06-13,8636tZpqe1
51520,149970435,1970,29,3CS0,05Fz,44107,8735OxqeQ3,1974-05-08,4588nTILj7
51520,149970435,1970,312,8te9,53By,99559,4462hsGnR8,1988-12-23,8960jfSHd1
26662,90451176,1997,192,6jL8,90ZW,61055,5762tUvRK1,2005-02-23,3413KBEIQ7
26662,90451176,1997,593,8Am4,22Ka,80183,7856uCwhR6,2012-11-27,2336ijlQD4
26662,90451176,1997,61,0my9,14dh,7211,2098mZGOl7,2010-10-10,7869VrekD3
39247,8049335780,1998,476,2YE7,69AA,55449,2257sseJY5,1970-04-10,3218vszMl1
87156,6540454213,1983,482,2we6,09qJ,72795,4442aEhlR7,1989-10-13,8722vKhoR9
87156,6540454213,1983,584,7wr3,74Kn,23521,0547VtYwa0,1996-07-26,6664vrlJL7
60824,5049333955,2021,935,6PY4,82wG,87757,3279ANdTY0,1989-10-01,2019TKtPV3
60824,5049333955,2021,418,7fP2,12nK,1190,7844ZrWPa0,1971-04-12,0468bTbOB7
60824,5049333955,2021,62,6px3,99We,240,3872FWMCG8,2023-02-03,8790LgbMl0
65367,825187044,1987,1,1XY3,33Qj,56171,8212gIWZL2,2020-06-18,6543PCyyM9
8641,519692779,1979,107,6MA4,92tp,11682,5134QOEuU6,2018-10-21,9520UzpOE2
42778,6974983218,1982,449,3QN9,30Mz,1890,1820ePgcO6,2018-07-25,6234LskTB5
42778,6974983218,1982,553,9zv2,09ar,47764,4765kZPIZ4,2011-05-25,1468pvGxw0
42778,6974983218,1982,649,0iG0,83BL,152,8998XgVrD7,2011-11-08,5556zxBDK1
30055,7743333133,2020,239,1Wl9,70Pu,11662,2167ggkPm2,1997-04-19,4707foHhU9
84483,6794215909,1984,9,9mm0,21Bh,44374,2508SbknW9,1971-11-26,4968jOdgA5
65513,1898659182,1986,165,3HV3,99vu,58825,9362CDwNV8,1982-09-30,8834lDRIn8
65513,1898659182,1986,31,1Ow3,30Nm,34844,1919FJtjh1,2011-02-01,8162eDULl0
65513,1898659182,1986,834,1gf9,33hg,97735,2030rOiuO9,2013-02-27,8585fweZk7
86974,5510973796,1995,938,5NX4,27gK,49527,0899UuhNd2,2021-02-22,5100Fhmmk5
21493,2801372780,2007,431,1si6,39hE,50312,7643YKRQQ5,1996-06-18,4034rUwGc8
21493,2801372780,2007,650,1Ov9,04tl,68093,2736BGpyS9,1973-04-03,8026bUTTS1
21493,2801372780,2007,368,7Tn2,87ef,50296,6768IjIWN1,2001-06-28,7125zUvmd8
70234,3155654679,1978,234,9sV7,62Vk,68107,9766iYpen0,2015-02-21,5524dZZRh6
70234,3155654679,1978,10,8vY4,44YS,53642,7683edkGQ6,2003-11-27,8537fZFGe4
70234,3155654679,1978,187,6oO7,68vv,61163,8187dDMqI2,2016-07-30,6149yubcf7
52510,4854292562,2007,544,9nk7,90Hb,41334,0908rIABE1,2006-06-05,6744GVtwO6
