CompanyCode,DocumentNo,FiscalYear,LineItem,SpecialGLInd,SpecialGLTrans,Vendor,ClearingDoc,ClearingDate,AllocationNo
16650,7114592230,2007,653,0ll4,93GP,3636,2311oUtxm7,1990-05-06,4777Bifkr0
83745,4383132901,2016,608,2Wl3,11lz,69891,3100Wwkir6,1990-03-08,1511GNGDu3
83745,4383132901,2016,963,9MX1,88zh,68957,0114sxzTr7,1996-06-25,9101YAqRZ0
51520,149970435,1970,219,2rk0,79WM,33074,7292QBAaN6,2004-11-21,3465YYnWo4
51520,149970435,1970,29,3lY0,38dR,28808,1503iYTAa1,2004-06-16,3576gVtqi7
51520,149970435,1970,312,1xg9,35CY,17172,6943KKyoB6,1972-01-25,1215QCaii2
26662,90451176,1997,192,9vk1,38ZI,92194,8688mFUww7,1980-03-20,0847Nghlp8
26662,90451176,1997,593,4UB7,33qR,8849,2171ZEtVY3,1971-01-15,9956fMdBo6
26662,90451176,1997,61,7de8,21Ya,57668,0780higSy4,2006-02-10,3596qXVqI9
39247,8049335780,1998,476,7RU6,30Wu,79567,7306lQIgx4,1974-03-30,8078tDPdd6
87156,6540454213,1983,482,2zD5,54oq,98149,1355AXcuI8,2007-10-23,2135TKUvZ7
87156,6540454213,1983,584,5wU5,75Rd,91893,3066PZKlt1,1973-01-31,9691YBupu9
60824,5049333955,2021,935,4oY2,02Rs,38810,4964lomcp4,2002-06-11,9991JeFdq5
60824,5049333955,2021,418,3nk6,04Be,51997,3885WMvwu4,2010-11-04,9970NfFUL5
60824,5049333955,2021,62,5Jb5,90Ki,55130,2263yEFek4,1977-11-10,7977mqArC5
65367,825187044,1987,1,5sH8,11cz,41606,1886nVJJK1,1981-06-14,3860WQoSZ9
8641,519692779,1979,107,5VX0,97JB,38950,5607udNYr9,1978-08-10,0465lWQDN9
42778,6974983218,1982,449,6Sp8,23OU,51267,1915BqRST3,2019-04-08,7819zsJvh1
42778,6974983218,1982,553,4Jf2,79nq,61829,7270XDQAL6,1987-06-28,0843gGZrd6
42778,6974983218,1982,649,4da9,57YE,86700,4091sIRgv5,2001-09-28,9244cfxAD8
30055,7743333133,2020,239,8lw0,03Cy,28778,0475uxPRQ2,1984-01-24,3331WNELN3
84483,6794215909,1984,9,1sn7,03sG,90480,8998OLPbM8,1985-08-18,7930JrvSc7
65513,1898659182,1986,165,0DY1,50Wl,60068,5407bHkJe7,1999-06-02,8986BzJjb1
65513,1898659182,1986,31,0Gb7,17NY,88097,9761vxZqH8,2002-07-18,6421jNjNM1
65513,1898659182,1986,834,4xR8,80XL,66458,7329ncbMB9,2008-04-29,1236SpyDN5
86974,5510973796,1995,938,6ds7,33Wx,60409,3497OVjCJ5,2005-11-19,5839RFoAV5
21493,2801372780,2007,431,3hg0,67qj,33635,3503SrRkJ5,1985-04-13,7444EBnuy0
21493,2801372780,2007,650,3aE9,56Ed,19472,4341wrPzg6,1989-12-16,0740dneeg4
21493,2801372780,2007,368,1oy1,53xJ,5336,3071borIC7,2020-10-24,1156OqAcj8
70234,3155654679,1978,234,9mW2,69cc,34631,8130nfAGz9,1990-10-23,9372EiuGr6
70234,3155654679,1978,10,2Rc0,04lx,14150,9308UptFQ2,1972-02-09,8974udWLi5
70234,3155654679,1978,187,8YY5,61bA,99032,8851vQCTC8,2013-08-23,1254jFYzW5
52510,4854292562,2007,544,6VX6,86qc,17509,0051LNKVq2,1999-08-15,2893NcWee1
52510,4854292562,2007,502,9fp5,89wb,42035,6131ZQsfC2,2008-08-11,4414chVXH6
52510,4854292562,2007,22,3qo5,74AX,10923,1646TIVFr5,2017-03-03,1503wxQru9
69468,7512137790,2015,221,1Pl9,19Uv,25917,6502XKQEB4,2003-05-26,3868wPiWE9
78720,3827891859,2005,52,6Og0,74Hb,67290,2335oMrAo6,2002-04-04,2244JYgQV5
78720,3827891859,2005,867,7aD8,32uO,97256,5405DwVCh3,2011-01-08,8211CHPJF3
78720,3827891859,2005,489,1KM8,11ZT,30607,6922LyhNK7,1986-07-12,1825QTqdt9
83638,9654139819,1990,327,7XT9,17mo,11560,7103AgVpD0,2019-03-02,4528VIDdC3
83638,9654139819,1990,482,3XE1,10Fp,60799,5966xYqPJ0,2003-08-08,4993RohWM0
58777,1370295522,1993,249,3FM5,31nq,49747,8693NyAnV1,1971-11-20,9297rTaBW6
58777,1370295522,1993,818,2Lt9,09En,96294,1210HmPbu1,2011-09-18,2424ceYng3
58777,1370295522,1993,410,7XA0,15rv,82002,9531VvGWo9,2014-10-12,0227yeqWR3
73720,9967825756,2002,817,6GO8,07hY,60857,9068biEdY7,2008-08-02,4984FgfAp7
73720,9967825756,2002,34,8mV2,10YO,53145,7097ElIRR6,2007-11-18,7666yrZxb5
76076,7823214060,1982,565,2mZ8,82Ah,77808,3236YYwpO2,1981-05-28,5621LuzkB7
61584,7834435432,1983,106,6gl2,87tx,45676,9544Jwpma8,1985-09-15,9818YtMNR8
60110,1681070738,1988,199,0ES9,66mq,66341,2897boHrJ1,2024-01-17,7643RDNcA2
28484,7901422254,2023,970,0Ss5,37eQ,25667,8402Renkp7,2018-12-18,0359iINAe2
36199,3018701725,2002,79,5AM5,16kH,51980,8078IuhsZ5,1989-10-19,0777jMgiO2
41939,8075947855,1980,441,9xr4,64yf,39030,3704nARqe1,1998-01-24,3258ZBYsZ1
41939,8075947855,1980,905,2yq8,36tl,86485,5908txzXF0,2004-06-18,9549VovHL2
41939,8075947855,1980,29,0sg0,45pR,28037,6919ZHxvq2,1993-07-28,6063PXwSi4
98663,8630119138,1980,966,4hJ5,88qD,85682,0763wfERM2,1981-07-13,4337ayZRs7
30183,7187230431,1982,281,5QW8,70nc,97008,5325kJjUw0,1983-01-03,5475QOMcU0
12023,9115698235,2019,229,5vf8,97Zs,14724,5700zrhAC4,2009-09-16,1336HpPkl9
77665,6320694923,1976,594,2of6,12fE,43654,2649zOliw2,1973-01-17,1054vcmCo6
72988,7389482161,2011,634,0Iz0,20nO,32499,8735CtYYg2,1978-12-28,9184sApXV2
72988,7389482161,2011,370,7ns0,25pc,15147,0297bFBGA3,2003-07-02,4198Hyeib9
15119,2147474613,1992,346,0SU1,49eS,85451,3483dRyjY9,1975-10-04,6410XPnzC8
15119,2147474613,1992,996,1fK4,99ds,55527,9385EhVGt0,2000-12-10,9876qWTFC3
15119,2147474613,1992,169,0SP0,86MB,45094,3133LRyRJ1,2008-05-31,9924pYGZs0
60207,6412914693,2008,431,1eL9,42YQ,80808,0090zPGyj0,1991-02-18,8166xKQhd0
60207,6412914693,2008,449,2bb0,92mP,32023,9830jmjXH8,1986-12-27,2850hWIaD9
60207,6412914693,2008,233,7tb1,22mq,69756,4146PwhkK2,1991-08-30,7857szsNs1
10997,1528447046,2007,475,8jv7,08ld,31582,3671xuktN0,1979-10-07,0339opNCJ4
34452,5309073190,2021,43,3Jj2,15ux,13862,9276arLAY4,2019-03-08,0567gqHjb5
44132,5384561627,2007,512,8FF5,73iq,73989,0217DEXKt0,1998-04-10,1599TEaUV0
44132,5384561627,2007,968,4Se5,04bO,33325,9578YjxQq4,1972-02-01,9882BgIrB9
47289,373820388,1986,172,2vz8,50wD,98871,5357apzhU1,2012-10-05,0584lrFIE8
92157,5418558967,1978,304,8Fq5,99yQ,97945,9319UEBOm8,2015-09-27,8870qpagr2
92157,5418558967,1978,355,0Zh0,01Vp,50719,2177evJdz1,1987-09-06,2469InZsO7
