CompanyCode,DocumentNo,FiscalYear,LineItem,GLAccount,ClearingDoc,ClearingDate,AllocationNo
16650,7114592230,2007,653,8mT9,3866xMJPY6,1980-05-08,6439RNiPj8
83745,4383132901,2016,608,2XW4,9893bFEIJ3,2020-05-21,3021Trsaa2
83745,4383132901,2016,963,8uC1,2590OAuXP9,2013-12-31,6633lMEpv5
51520,149970435,1970,219,2wA2,7834hRRon3,2008-11-07,8294ltSmV8
51520,149970435,1970,29,8nJ7,3617jICPG5,1995-06-05,6487taDDF3
51520,149970435,1970,312,9OV1,8918UmZya5,1979-08-26,5154gqhBM1
26662,90451176,1997,192,3jc0,2904kQGBn8,1991-08-09,2210uBOKo4
26662,90451176,1997,593,8UY5,6177tteIa8,1986-08-16,8675oWdvd9
26662,90451176,1997,61,2dP9,9415rVOQK0,1994-02-19,5312LzIoR4
39247,8049335780,1998,476,9px5,4506uiMdF6,1988-11-15,0208KGTxD1
87156,6540454213,1983,482,5rm6,0639Bnnaf1,2024-02-17,2114ORDJb1
87156,6540454213,1983,584,6Ge2,5377mCBvJ2,2016-03-10,9814workF8
60824,5049333955,2021,935,2vC4,3817sZLwM7,1993-11-17,7904RRJnV2
60824,5049333955,2021,418,6Mj2,1527ZrOkW0,1973-03-12,8631mavuG2
60824,5049333955,2021,62,1GB2,0926aaHRk9,1988-06-08,1285kectP8
65367,825187044,1987,1,6No9,3926cluun7,1983-05-21,8659EYrOi4
8641,519692779,1979,107,2BF3,6936UQJoW7,2022-02-19,8867ntRxT3
42778,6974983218,1982,449,2bz9,3605HJMUR5,1973-09-24,5245eJmMi6
42778,6974983218,1982,553,1lc2,6748BhSkG0,1985-03-08,4980NYZGo8
42778,6974983218,1982,649,6le5,7448FwnhC4,1995-06-23,1449JBUXA6
30055,7743333133,2020,239,8jm4,1514hMTpz2,1972-02-16,7369feQdS5
84483,6794215909,1984,9,5MK0,2811sbQDM4,1988-06-11,6137EgzSg3
65513,1898659182,1986,165,2hh1,1337iQabf3,1990-11-26,3240jwGsC2
65513,1898659182,1986,31,2UE1,9654jEPAX4,1996-07-14,9259poXAv3
65513,1898659182,1986,834,0qA0,5242jvpKk8,2010-06-02,0441UZOEz0
86974,5510973796,1995,938,5Av7,4046XCWuz2,1970-08-24,6871tRywJ6
21493,2801372780,2007,431,7iC2,4087ScBmg0,1974-06-04,1073aMbFr2
21493,2801372780,2007,650,0qM2,6335zsFew5,2018-06-25,6449cnSfX7
21493,2801372780,2007,368,0Ge5,5789UqrPm9,1980-08-08,1706YwnAE8
70234,3155654679,1978,234,0pA2,0710NTTwp6,1990-10-02,8264AcWxZ7
70234,3155654679,1978,10,8ED6,1539NcsKH1,1981-11-17,6813MQpGl0
70234,3155654679,1978,187,7cN4,8187FTESR4,1975-12-04,6113zZhZn4
52510,4854292562,2007,544,6Tq5,9147Vtonz0,2018-06-26,4400HqAaS5
52510,4854292562,2007,502,0xi0,6979wHoSK7,1990-08-19,9616LNgUk0
52510,4854292562,2007,22,9SX7,2411ulsQn0,1979-12-08,3668eDxTw4
69468,7512137790,2015,221,3RC3,0586pQhfG7,2001-11-18,3850WjtTo6
78720,3827891859,2005,52,7MX0,1045CvdcU9,2018-03-22,2091PoWkc4
78720,3827891859,2005,867,5LD8,0833GZZIV5,1983-03-15,2609cSTct2
78720,3827891859,2005,489,9Ve5,3084NZoIJ9,1995-04-25,3167PElDh5
83638,9654139819,1990,327,2qP5,8623TLOty3,1979-10-11,9762NTCVf5
83638,9654139819,1990,482,4TZ1,7040yoJKA2,2012-08-17,1172aSySM9
58777,1370295522,1993,249,2RI9,3996flbTN5,1980-12-19,7763tRkOk9
58777,1370295522,1993,818,6Js2,7998RHGZr3,2015-04-09,8600DMfgI8
58777,1370295522,1993,410,0Nq6,1942FRqvH9,1994-12-16,3135uERRH3
73720,9967825756,2002,817,9sz9,0422cWKdX0,1970-02-03,8757JMAiP9
73720,9967825756,2002,34,1WS6,9685JSWBr0,1987-07-29,8325drcCe2
76076,7823214060,1982,565,1kA2,1317RvdID4,1984-04-16,1178LOAro8
61584,7834435432,1983,106,6RK9,2991tEAcq4,1992-06-16,4889gSatn4
60110,1681070738,1988,199,5Gm9,2881efGda3,1970-08-15,5553RMycF6
28484,7901422254,2023,970,8tB3,2880SePwl3,1978-10-30,5292POfuj0
36199,3018701725,2002,79,4nq9,6527doApr6,1990-04-22,2266BYKvC2
41939,8075947855,1980,441,6IF4,3782vChvn2,1984-07-25,0030SiECx1
41939,8075947855,1980,905,0Dz9,7648Uqfca1,2007-04-03,5927ztqeR8
41939,8075947855,1980,29,4iB8,2059juIeO5,1984-10-19,7797fZAon7
98663,8630119138,1980,966,9et5,8297OgShN7,2022-11-04,4167jUJgj3
30183,7187230431,1982,281,5Dg2,0137zrImy1,2006-08-30,9537GFdxn6
12023,9115698235,2019,229,4jo0,9590fWQbt3,1999-10-20,4046mbBtS2
77665,6320694923,1976,594,7EB0,9782mOAGp3,1976-10-22,3561ixfFt0
72988,7389482161,2011,634,3mh4,4469AQSYL1,2010-08-15,7698Mifxn6
72988,7389482161,2011,370,2NB3,1856TRblk6,2022-10-19,0644evSlD0
15119,2147474613,1992,346,4xq9,4417OTOyO8,1970-11-27,1343eKCTl5
15119,2147474613,1992,996,8lu6,0739XXkSb9,2006-07-13,6440dQqaX4
15119,2147474613,1992,169,6EF6,8436TsAui3,1998-06-09,1848ebNtz7
60207,6412914693,2008,431,8oT6,0876CRIYx2,2001-02-14,6750IGkSI2
60207,6412914693,2008,449,3MC9,6490eaeYA0,1972-05-10,7911oJEja6
60207,6412914693,2008,233,5mR7,1169ZgEFO1,2005-07-24,4573tFJii6
10997,1528447046,2007,475,8Rq8,3567QtOQi5,2023-08-19,2348ZWZnq6
34452,5309073190,2021,43,4JD4,9040rMSby5,2016-07-13,5724unZYB9
44132,5384561627,2007,512,5TM8,3394usGPZ9,2001-04-20,4372PlCwh3
44132,5384561627,2007,968,1jS7,2492sTtbK1,1981-07-20,5741mELEh7
47289,373820388,1986,172,1WF5,2117NkLNt1,1989-10-12,1047kxGJD1
92157,5418558967,1978,304,6jp8,2818DAzTv7,1974-03-09,3283JTJkK5
92157,5418558967,1978,355,2ZI2,9662CHSTP5,2012-01-23,0098ggCyx8
19985,5404945978,1994,785,5GR3,8498ReXln2,1990-11-17,8602OWnYK4
19985,5404945978,1994,469,9SS7,1286duoKy2,2001-02-24,9762UDUJf3
55817,6747512011,1986,237,6VX2,7525VnnRc9,2002-11-23,9701ElKPQ4
22480,7364927037,1977,220,8ol5,8495tCnlN6,1984-10-25,4169opfsb8
22480,7364927037,1977,764,1iN6,0758CUqiW3,2005-06-17,6702SLcqW9
49477,2856845638,1999,156,4VN9,6088zpXjJ9,2007-08-21,1578kkNPo4
49477,2856845638,1999,212,7fw6,4935pNxYV6,2003-11-01,9448sqnST1
81189,2258391555,2001,751,4Yd3,0045twkoS4,2023-03-29,5269QhEyt5
81189,2258391555,2001,567,2yg7,3809ApMOc9,1992-04-19,3425nUFMU0
46601,7040990826,2013,508,3st0,5699HhXUP2,2019-05-14,9662WoGCS7
46601,7040990826,2013,340,1cx8,9008OjTJP0,2017-09-18,7215dCDIB7
46601,7040990826,2013,327,1Ew2,4646oyhot0,1992-08-05,0004ZmyUN3
86529,6970599981,2013,91,4ZR0,6908ebzSH1,1987-03-31,0166ewFdP0
86529,6970599981,2013,590,9Kk6,7700PBUeo3,2002-05-12,7756XPvgf0
99988,9674667947,2007,716,7DH6,2495oBQNC2,1982-05-05,5404kLnCY9
36450,2879940566,2009,474,7RU7,1602twYcz2,1997-05-07,5327BtLhn6
43493,9151926848,2014,716,6aX2,4133SaMkf0,1979-10-05,7325zTuIW2
43493,9151926848,2014,974,7yR1,8974xyxel4,2011-07-14,3808JoOVq3
43493,9151926848,2014,155,2aX2,9337BpeOq0,1980-03-28,4303GbTgN5
81541,3846219603,2012,934,6hx2,9076YcYcW8,2018-01-10,8217Hzkkx1
51256,3448154048,1993,884,8ri6,2115PFzNv4,1977-08-16,7750kWKGw4
51256,3448154048,1993,127,0Qr6,6964lqvGG9,1994-03-26,5153jlxrG7
13417,5041573244,2022,415,7Pm9,5366uRQPO9,2010-05-13,6885ZmtDn3
13417,5041573244,2022,498,3nk3,5749CUYRs1,2001-11-21,0799aetrT7
13417,5041573244,2022,526,5KA3,6682hMAGc9,2006-09-16,3379QTmGa8
88295,8815724861,2006,800,1cr0,2900ZznRC8,1991-05-11,6691zLDyT5
9878,720193149,1976,242,1VX3,7344BZxNI9,2011-02-02,6506CWfuT4
9878,720193149,1976,448,2Fn6,9373XEoUf5,2022-10-15,8002wLvCw3
25322,3376237130,1991,937,7xq4,5466iwaXf2,1990-03-11,4413AGIlf7
25322,3376237130,1991,396,2YV1,9277TMUiM3,2001-10-19,6281DMhVr1
86807,5837592711,1973,801,2Bq6,6578iYcfk1,1993-09-07,9956awtIf2
86807,5837592711,1973,779,3Ok8,0380BUacp2,2015-03-03,0953DoiFK4
86661,2883879979,1991,384,1fv8,4424DdBwW5,1982-07-13,7651KlQsQ1
86661,2883879979,1991,783,2rf6,6732gUgFu7,2005-04-11,7151pyaxL0
75597,2521560495,1994,437,5rW6,5558vevyZ4,1989-09-03,0314jbWQs9
60816,1106540490,2003,418,1Pf2,5695Hqqyj4,1988-09-09,4284oIAci0
60816,1106540490,2003,488,3ts4,6515oNPyx7,1984-05-23,5137ygqHA2
86129,9584403139,1981,207,5tK4,5854koMpK0,2006-12-19,5612ouizQ4
86129,9584403139,1981,891,7FV7,8583nLByp8,1997-07-10,2933SmIfl7
34432,2210102360,2017,521,6ki3,5111uHfwW6,1975-10-01,0303RHqHE7
34432,2210102360,2017,182,4VA9,4338IGGzI5,2022-06-12,2134UMBaV6
60192,5356412810,1978,138,5oM6,4905LJkrR3,2012-02-25,3896gBiEh0
60192,5356412810,1978,409,0yT1,0446PSsPH4,2014-04-20,6922bAoiM9
23472,4803684405,1975,590,7YN8,5408tjvRd0,2014-12-04,6945ZcYoc0
23472,4803684405,1975,317,2fJ0,5922DQmzV7,1998-04-20,8408WABVt5
23629,7530407711,1980,751,2xe0,6811xguXT8,2017-01-19,1198noNXR4
36364,463509511,1993,874,1Nq3,9054MCTMf8,2022-10-29,3767EAlfN0
56674,5838264448,2011,796,1cT4,8425yZWFM3,2008-08-19,2278bBpJV8
41404,5681731798,1992,301,6ue5,8905bxfEK2,1974-12-25,3087oFLMf6
11573,7361961257,1976,912,8zC9,3617TFagg3,2002-03-08,7393WXcOI3
93562,9810089161,2004,207,2zb1,3246rElnS4,2001-06-21,3844cAfWr3
93562,9810089161,2004,453,6RU0,9296hqzJK8,1988-04-30,7567xilEs2
50338,9481392065,2015,4,8uy8,7408wYDxN3,2010-03-27,9933hLjdn4
50338,9481392065,2015,754,4eq5,1755SiyUa8,2005-02-07,1321UjZni1
40495,2128906563,2009,631,9VK2,2661siFFj3,2011-03-10,0228RDMJr4
53322,2594926091,2021,446,4PC5,3890TxRzL1,2000-08-21,6735jgzer1
53322,2594926091,2021,580,0CI2,2579bqQJK4,2012-12-08,5126ehrwl8
33777,1740933888,1995,394,7Fy4,2141YRkZa4,1986-01-01,4808dRjVj7
33777,1740933888,1995,280,7UC6,7148WVVtm0,1995-04-22,3208PwEfy9
33777,1740933888,1995,563,3VU6,8243gdFMK7,1985-01-01,4842QViyJ9
39559,3464867827,1982,725,0XW2,6481LHFIX0,2010-12-12,4271AgFIW8
39559,3464867827,1982,312,1Dm4,9461OjPLi6,1983-07-18,0231sHhcb3
39559,3464867827,1982,221,0JJ2,9900eZGbt3,2012-08-06,7601WSNWv6
84315,6394531697,2001,429,8rC0,5888aLNDu6,1993-10-28,1011bepYI9
73599,4341380386,2022,598,9Yn9,2604HaEvh7,1985-11-01,7747cuSYD0
66735,288714683,1980,89,8nE4,8738xlqJp6,2001-07-02,1768GHcLb0
7347,9474006381,1988,921,1kX5,5167ePNPZ4,1994-08-03,2277TfiVl9
7347,9474006381,1988,905,0gf4,8681ClgIi3,1983-07-22,1446dzOTC5
15325,5965285311,1989,16,7jI4,6339tXdNw3,1981-12-23,6057ykbNL3
44841,2961254533,1973,429,5SB8,8244hUNSH3,1971-08-10,2277xVfKl3
44841,2961254533,1973,303,5GL6,7012EPsVd4,1988-01-16,7793sFFJX4
97416,3411176189,2000,49,5nY3,4381xsckM6,2019-02-17,6286SmXFw0
97416,3411176189,2000,509,8iU7,2431CDVMV1,2005-05-26,0228mNEpA0
97416,3411176189,2000,35,6WR9,9146SNrJX0,1999-09-11,3052FMdxQ0
64749,2012943330,1983,756,1Xt2,4184HrYeM1,1971-06-11,7364DpKwS4
64749,2012943330,1983,218,2er4,6711simYi3,1971-08-09,9024rgsHC1
28317,3626303145,2022,223,9rY4,3955jyroM8,1995-12-07,8339PYOTz9
28317,3626303145,2022,174,4oW8,5682quvTp3,1992-02-18,3418zKgCe9
22451,8253110846,1995,832,8bM9,2362JUxyJ9,2000-07-06,6391yZeah0
22451,8253110846,1995,388,0uN9,2668zxSUU7,2007-04-08,5066sxMqG7
22451,8253110846,1995,639,6Nu1,4022Rlxjf0,1973-05-21,9142Xjupa0
5591,3720662354,1980,876,9MN3,9840MHBWy1,2014-01-19,7304UFYtW5
48635,9596200030,2019,340,3Gb2,1700gqhUI7,1988-04-09,8544hUIZs1
48635,9596200030,2019,838,6jt1,0319PPlWZ9,2012-11-05,8381OZxUh8
48635,9596200030,2019,169,1aX7,2048IpKZG8,1995-08-04,9133uwxKt4
38502,9268747068,2011,714,4cR1,3060McENS9,1982-01-17,1917RYNel9
38502,9268747068,2011,179,7mT9,7025fXHXy1,1971-04-14,4106FaJvl8
17183,6910015398,1983,469,4Vi3,6799CCRxz9,2005-06-28,2902emywD4
17183,6910015398,1983,349,7gM1,7866pyLgV1,1992-12-06,8581TimPD9
21951,2424121870,1992,135,8CC4,1474KDRgN6,2017-03-07,3975dUgWs6
21951,2424121870,1992,754,5LF5,8919oWFqR3,1978-05-04,6184xaVRg5
40761,183393841,2024,578,1eX1,4041fokEG9,1971-11-07,5356yagyD2
40830,6330761423,2021,396,6vw9,4439HqnSQ7,2015-03-14,5240LsyMM4
89822,333497192,2009,121,6Tv7,4325SreJf9,2012-08-09,7750qFFRI9
74695,1749042983,2005,655,1iR7,4367bvtbA7,1974-09-14,3736ibNaP3
74695,1749042983,2005,973,8ui4,2101VmQxV3,2002-02-15,0791uNCrd1
96036,1218146788,2008,562,9yH6,1960WBFbt1,1985-10-12,7399pQqAw7
51543,3164325348,1977,243,0WB2,4970xJDuu4,1972-07-13,9153AYxmN9
30522,4285627964,1979,621,0lb6,2065EEcwS2,1980-06-05,0111OneaQ6
77362,512838993,1997,94,8xM4,1856hDeXt9,1971-11-01,1179LaumF5
13251,7292991524,1980,177,0kR9,9289iYDWC6,1974-05-04,7858tkHJN9
3974,2029260558,2018,498,5gK3,9332CaxRX6,2007-05-12,7284wXyZa7
13178,2713361682,2015,870,1lZ8,7958RXVoM8,1982-05-29,7916Jkwuy4
