CompanyCode,DocumentNo,FiscalYear,LineItem
16650,7114592230,2007,100
16650,7114592230,2007,275
83745,4383132901,2016,323
51520,149970435,1970,36
26662,90451176,1997,331
39247,8049335780,1998,886
87156,6540454213,1983,528
87156,6540454213,1983,826
87156,6540454213,1983,632
60824,5049333955,2021,22
60824,5049333955,2021,926
65367,825187044,1987,22
65367,825187044,1987,32
8641,519692779,1979,423
42778,6974983218,1982,555
42778,6974983218,1982,55
42778,6974983218,1982,460
30055,7743333133,2020,534
84483,6794215909,1984,28
65513,1898659182,1986,846
86974,5510973796,1995,757
21493,2801372780,2007,74
21493,2801372780,2007,797
21493,2801372780,2007,972
70234,3155654679,1978,762
70234,3155654679,1978,206
52510,4854292562,2007,128
52510,4854292562,2007,158
69468,7512137790,2015,600
78720,3827891859,2005,727
83638,9654139819,1990,886
83638,9654139819,1990,407
58777,1370295522,1993,373
58777,1370295522,1993,226
73720,9967825756,2002,150
73720,9967825756,2002,861
73720,9967825756,2002,92
76076,7823214060,1982,980
61584,7834435432,1983,990
60110,1681070738,1988,202
60110,1681070738,1988,643
60110,1681070738,1988,617
28484,7901422254,2023,818
28484,7901422254,2023,696
28484,7901422254,2023,458
36199,3018701725,2002,651
36199,3018701725,2002,915
41939,8075947855,1980,738
41939,8075947855,1980,652
41939,8075947855,1980,61
98663,8630119138,1980,724
98663,8630119138,1980,864
98663,8630119138,1980,199
30183,7187230431,1982,658
30183,7187230431,1982,100
12023,9115698235,2019,808
12023,9115698235,2019,407
12023,9115698235,2019,888
77665,6320694923,1976,709
77665,6320694923,1976,601
77665,6320694923,1976,649
72988,7389482161,2011,555
72988,7389482161,2011,272
15119,2147474613,1992,808
60207,6412914693,2008,664
10997,1528447046,2007,611
10997,1528447046,2007,480
10997,1528447046,2007,839
34452,5309073190,2021,971
44132,5384561627,2007,262
44132,5384561627,2007,70
44132,5384561627,2007,152
47289,373820388,1986,463
47289,373820388,1986,971
92157,5418558967,1978,682
92157,5418558967,1978,154
92157,5418558967,1978,932
19985,5404945978,1994,543
19985,5404945978,1994,490
19985,5404945978,1994,238
55817,6747512011,1986,151
55817,6747512011,1986,233
55817,6747512011,1986,679
22480,7364927037,1977,298
49477,2856845638,1999,26
81189,2258391555,2001,73
46601,7040990826,2013,811
46601,7040990826,2013,738
46601,7040990826,2013,789
86529,6970599981,2013,49
86529,6970599981,2013,267
86529,6970599981,2013,648
99988,9674667947,2007,641
99988,9674667947,2007,582
36450,2879940566,2009,228
36450,2879940566,2009,777
43493,9151926848,2014,423
43493,9151926848,2014,441
43493,9151926848,2014,862
81541,3846219603,2012,903
81541,3846219603,2012,196
81541,3846219603,2012,787
51256,3448154048,1993,465
13417,5041573244,2022,217
13417,5041573244,2022,824
13417,5041573244,2022,364
88295,8815724861,2006,462
88295,8815724861,2006,282
88295,8815724861,2006,899
9878,720193149,1976,936
9878,720193149,1976,457
9878,720193149,1976,359
25322,3376237130,1991,326
25322,3376237130,1991,812
25322,3376237130,1991,682
86807,5837592711,1973,79
86661,2883879979,1991,151
86661,2883879979,1991,857
86661,2883879979,1991,28
75597,2521560495,1994,840
75597,2521560495,1994,225
75597,2521560495,1994,63
60816,1106540490,2003,412
86129,9584403139,1981,459
34432,2210102360,2017,370
60192,5356412810,1978,260
60192,5356412810,1978,889
60192,5356412810,1978,886
23472,4803684405,1975,558
23472,4803684405,1975,550
23472,4803684405,1975,960
23629,7530407711,1980,9
36364,463509511,1993,489
36364,463509511,1993,562
56674,5838264448,2011,825
41404,5681731798,1992,52
41404,5681731798,1992,38
41404,5681731798,1992,420
11573,7361961257,1976,272
11573,7361961257,1976,499
11573,7361961257,1976,80
93562,9810089161,2004,213
93562,9810089161,2004,34
50338,9481392065,2015,766
50338,9481392065,2015,149
40495,2128906563,2009,598
53322,2594926091,2021,269
53322,2594926091,2021,921
33777,1740933888,1995,201
33777,1740933888,1995,114
39559,3464867827,1982,554
39559,3464867827,1982,148
84315,6394531697,2001,372
84315,6394531697,2001,526
84315,6394531697,2001,34
73599,4341380386,2022,291
73599,4341380386,2022,694
66735,288714683,1980,302
7347,9474006381,1988,430
15325,5965285311,1989,727
15325,5965285311,1989,175
44841,2961254533,1973,368
97416,3411176189,2000,242
64749,2012943330,1983,258
64749,2012943330,1983,685
28317,3626303145,2022,115
28317,3626303145,2022,492
28317,3626303145,2022,671
22451,8253110846,1995,651
22451,8253110846,1995,57
5591,3720662354,1980,35
5591,3720662354,1980,171
48635,9596200030,2019,441
38502,9268747068,2011,203
38502,9268747068,2011,676
38502,9268747068,2011,863
17183,6910015398,1983,365
17183,6910015398,1983,880
17183,6910015398,1983,68
21951,2424121870,1992,319
40761,183393841,2024,235
40761,183393841,2024,687
40830,6330761423,2021,49
40830,6330761423,2021,773
40830,6330761423,2021,184
89822,333497192,2009,608
74695,1749042983,2005,670
74695,1749042983,2005,207
96036,1218146788,2008,156
51543,3164325348,1977,552
51543,3164325348,1977,350
30522,4285627964,1979,935
30522,4285627964,1979,224
30522,4285627964,1979,744
77362,512838993,1997,265
77362,512838993,1997,576
13251,7292991524,1980,737
3974,2029260558,2018,536
3974,2029260558,2018,859
13178,2713361682,2015,390
13178,2713361682,2015,663
96878,3174065521,1997,111
92635,3674403509,1992,483
92635,3674403509,1992,197
91184,6064390744,1986,506
72401,2418498319,2003,172
72401,2418498319,2003,584
33426,2110437913,1986,402
33426,2110437913,1986,709
40194,9418708343,1990,245
12708,7251366091,2011,622
12708,7251366091,2011,78
12708,7251366091,2011,872
23979,6643882813,2022,185
3701,4728068599,1975,998
3701,4728068599,1975,56
3701,4728068599,1975,362
38949,4806965276,2023,733
38949,4806965276,2023,481
38949,4806965276,2023,847
47902,4597371763,2001,763
47902,4597371763,2001,821
26279,8072687432,1977,686
26279,8072687432,1977,865
19020,608457826,1987,810
84879,7544797317,1993,128
84879,7544797317,1993,362
696,8304768456,1995,76
696,8304768456,1995,572
61333,324011238,2000,35
61333,324011238,2000,478
61333,324011238,2000,106
24254,6454529056,1995,300
24254,6454529056,1995,549
91898,4537899692,2008,907
91898,4537899692,2008,495
64170,4356000976,1989,98
71686,6901572172,1985,824
71686,6901572172,1985,390
11272,6665213212,1987,38
11272,6665213212,1987,58
21308,6622467516,2010,432
21308,6622467516,2010,427
21308,6622467516,2010,958
24978,7272517647,1988,544
24978,7272517647,1988,465
22148,7580791964,1988,920
22148,7580791964,1988,994
22148,7580791964,1988,635
68717,1476204519,2014,848
68717,1476204519,2014,760
68717,1476204519,2014,220
10625,1258705281,2021,988
