CompanyCode,DocumentNo,FiscalYear,LineItem
16650,7114592230,2007,653
83745,4383132901,2016,608
83745,4383132901,2016,963
51520,149970435,1970,219
51520,149970435,1970,29
51520,149970435,1970,312
26662,90451176,1997,192
26662,90451176,1997,593
26662,90451176,1997,61
39247,8049335780,1998,476
87156,6540454213,1983,482
87156,6540454213,1983,584
60824,5049333955,2021,935
60824,5049333955,2021,418
60824,5049333955,2021,62
65367,825187044,1987,1
8641,519692779,1979,107
42778,6974983218,1982,449
42778,6974983218,1982,553
42778,6974983218,1982,649
30055,7743333133,2020,239
84483,6794215909,1984,9
65513,1898659182,1986,165
65513,1898659182,1986,31
65513,1898659182,1986,834
86974,5510973796,1995,938
21493,2801372780,2007,431
21493,2801372780,2007,650
21493,2801372780,2007,368
70234,3155654679,1978,234
70234,3155654679,1978,10
70234,3155654679,1978,187
52510,4854292562,2007,544
52510,4854292562,2007,502
52510,4854292562,2007,22
69468,7512137790,2015,221
78720,3827891859,2005,52
78720,3827891859,2005,867
78720,3827891859,2005,489
83638,9654139819,1990,327
83638,9654139819,1990,482
58777,1370295522,1993,249
58777,1370295522,1993,818
58777,1370295522,1993,410
73720,9967825756,2002,817
73720,9967825756,2002,34
76076,7823214060,1982,565
61584,7834435432,1983,106
60110,1681070738,1988,199
28484,7901422254,2023,970
36199,3018701725,2002,79
41939,8075947855,1980,441
41939,8075947855,1980,905
41939,8075947855,1980,29
98663,8630119138,1980,966
30183,7187230431,1982,281
12023,9115698235,2019,229
77665,6320694923,1976,594
72988,7389482161,2011,634
72988,7389482161,2011,370
15119,2147474613,1992,346
15119,2147474613,1992,996
15119,2147474613,1992,169
60207,6412914693,2008,431
60207,6412914693,2008,449
60207,6412914693,2008,233
10997,1528447046,2007,475
34452,5309073190,2021,43
44132,5384561627,2007,512
44132,5384561627,2007,968
47289,373820388,1986,172
92157,5418558967,1978,304
92157,5418558967,1978,355
19985,5404945978,1994,785
19985,5404945978,1994,469
55817,6747512011,1986,237
22480,7364927037,1977,220
22480,7364927037,1977,764
49477,2856845638,1999,156
49477,2856845638,1999,212
81189,2258391555,2001,751
81189,2258391555,2001,567
46601,7040990826,2013,508
46601,7040990826,2013,340
46601,7040990826,2013,327
86529,6970599981,2013,91
86529,6970599981,2013,590
99988,9674667947,2007,716
36450,2879940566,2009,474
43493,9151926848,2014,716
43493,9151926848,2014,974
43493,9151926848,2014,155
81541,3846219603,2012,934
