CompanyCode,DocumentNo,FiscalYear,LineItem
16650,7114592230,2007,267
16650,7114592230,2007,390
83745,4383132901,2016,414
83745,4383132901,2016,954
83745,4383132901,2016,730
51520,149970435,1970,983
51520,149970435,1970,979
51520,149970435,1970,780
26662,90451176,1997,360
26662,90451176,1997,452
39247,8049335780,1998,134
87156,6540454213,1983,663
60824,5049333955,2021,249
65367,825187044,1987,660
8641,519692779,1979,536
8641,519692779,1979,896
42778,6974983218,1982,629
42778,6974983218,1982,610
30055,7743333133,2020,712
84483,6794215909,1984,181
84483,6794215909,1984,855
84483,6794215909,1984,201
65513,1898659182,1986,73
86974,5510973796,1995,987
86974,5510973796,1995,731
86974,5510973796,1995,112
21493,2801372780,2007,797
70234,3155654679,1978,555
52510,4854292562,2007,934
52510,4854292562,2007,190
52510,4854292562,2007,598
69468,7512137790,2015,17
78720,3827891859,2005,150
83638,9654139819,1990,952
58777,1370295522,1993,690
73720,9967825756,2002,287
76076,7823214060,1982,378
76076,7823214060,1982,784
61584,7834435432,1983,234
61584,7834435432,1983,658
60110,1681070738,1988,339
28484,7901422254,2023,507
28484,7901422254,2023,986
28484,7901422254,2023,636
36199,3018701725,2002,865
41939,8075947855,1980,370
98663,8630119138,1980,831
30183,7187230431,1982,435
30183,7187230431,1982,901
30183,7187230431,1982,153
12023,9115698235,2019,751
77665,6320694923,1976,327
72988,7389482161,2011,101
15119,2147474613,1992,928
15119,2147474613,1992,625
15119,2147474613,1992,779
60207,6412914693,2008,695
60207,6412914693,2008,734
60207,6412914693,2008,976
10997,1528447046,2007,481
10997,1528447046,2007,298
10997,1528447046,2007,726
34452,5309073190,2021,673
44132,5384561627,2007,965
47289,373820388,1986,903
47289,373820388,1986,877
47289,373820388,1986,914
92157,5418558967,1978,62
19985,5404945978,1994,60
19985,5404945978,1994,811
19985,5404945978,1994,410
55817,6747512011,1986,110
22480,7364927037,1977,135
22480,7364927037,1977,735
22480,7364927037,1977,629
49477,2856845638,1999,378
49477,2856845638,1999,825
81189,2258391555,2001,192
81189,2258391555,2001,351
46601,7040990826,2013,161
86529,6970599981,2013,603
86529,6970599981,2013,270
99988,9674667947,2007,578
99988,9674667947,2007,2
99988,9674667947,2007,363
36450,2879940566,2009,567
36450,2879940566,2009,372
36450,2879940566,2009,83
43493,9151926848,2014,798
43493,9151926848,2014,70
43493,9151926848,2014,309
81541,3846219603,2012,868
81541,3846219603,2012,851
51256,3448154048,1993,545
13417,5041573244,2022,239
13417,5041573244,2022,777
13417,5041573244,2022,441
88295,8815724861,2006,182
