CompanyCode,DocumentNo,FiscalYear,LineItem,SpecialGLInd,SpecialGLTrans,CustomerNo,ClearingDoc,ClearingDate,AllocationNo
16650,7114592230,2007,653,8jO6,39pC,28266,8038ikCJP8,2002-01-24,4780iRezE3
83745,4383132901,2016,608,7zc5,56sm,68093,9949naeYO1,2019-07-03,7338ZJbeW4
83745,4383132901,2016,963,9xf7,83Zt,69042,7350qRlpm1,2004-03-14,4449DqNtv6
51520,149970435,1970,219,8vz2,23FX,40013,8502wJxgI1,1975-11-15,4543xFcNT1
51520,149970435,1970,29,6Tz1,83Kb,7706,8577xWcWq6,2022-12-09,3594cWfmZ5
51520,149970435,1970,312,7aC5,00OV,1890,5171EoBRo6,2004-12-13,0147fHQyS3
26662,90451176,1997,192,3ND3,97bh,43470,8134ajHTt1,1988-03-13,9333AARqK5
26662,90451176,1997,593,7rr0,21Hl,68997,4274RomLK4,1972-08-30,3789pcSyV0
26662,90451176,1997,61,6UX5,30NB,92210,9619znHSl0,1998-12-06,2781nmIAR3
39247,8049335780,1998,476,0Nr2,07RP,62720,1795yHKgU6,1980-02-18,1123TAlcC6
87156,6540454213,1983,482,6BS3,86gt,87027,0289QjlfX0,1987-02-02,0489bKqip8
87156,6540454213,1983,584,6sq8,02FN,43082,4429hONHC6,1976-12-10,3949IgCBf0
60824,5049333955,2021,935,9HL0,49an,85102,7869tyfJb8,1991-07-20,5648SmrXs9
60824,5049333955,2021,418,6Gn8,12Fl,7987,3160CmuKS0,1972-04-22,0319pemwx5
60824,5049333955,2021,62,4Cq9,13mW,93813,4417oloRs8,1977-11-20,4460HFjkz2
65367,825187044,1987,1,1jH2,28ou,48462,1017HBudZ3,2006-01-23,3045VkpsD6
8641,519692779,1979,107,3Wo6,53Vf,69926,9029qPeqO8,2014-08-24,3534JHDxs4
42778,6974983218,1982,449,1vG3,04Dt,25765,8391xJtZd9,1995-09-29,9339NJHFM5
42778,6974983218,1982,553,0UW2,43dG,71184,4198PYluD4,1999-07-25,9883kpXiF0
42778,6974983218,1982,649,5tl8,70Rq,9311,1298qPJiX5,1996-11-23,6979CDtQZ6
30055,7743333133,2020,239,5GG9,65Bu,94945,9464rFZts0,1996-01-19,9381klgig7
84483,6794215909,1984,9,0gU4,83uX,11528,1771tEGnQ4,2019-04-13,5044utVgP2
65513,1898659182,1986,165,8RG2,69dx,90297,8567Tsqkv8,1982-03-19,1275JlPSP8
65513,1898659182,1986,31,5ta0,08pZ,56038,0033CIenn3,1982-08-17,1139GqIKj1
65513,1898659182,1986,834,6yj5,60vU,99345,3052jsYjm5,1999-11-21,5662hWGLf0
86974,5510973796,1995,938,0ud8,39lh,36524,7922nvYLq8,1971-12-22,5852EGCZw4
21493,2801372780,2007,431,1vp2,27dG,30008,7599Vsyxw5,1975-02-06,6176hAxLn1
21493,2801372780,2007,650,2Qr0,26UG,21979,6586iXoFQ1,1985-10-19,9653fYFfi3
21493,2801372780,2007,368,6GT6,81gt,36137,9318aZIex9,1982-07-13,1600nsiyg4
70234,3155654679,1978,234,5ND5,71Qd,40743,5331haKmI8,1973-12-02,8751uQbhY6
70234,3155654679,1978,10,6gW1,41Fx,3846,7568pptlO5,1985-10-09,3823eoqjU6
70234,3155654679,1978,187,3qg9,52Kh,18532,2511wYeaY4,2016-12-22,2345qPHnq8
52510,4854292562,2007,544,5jg4,30PE,31672,8866HIDLP2,1977-07-15,9886woUdo6
52510,4854292562,2007,502,1pt0,66Ss,53512,8471LoLIO8,1997-11-04,2888CjmNi2
52510,4854292562,2007,22,9mu4,69Rc,51345,3719uyXGH4,2017-10-25,4691XHKiu3
69468,7512137790,2015,221,4oV9,27JT,46668,6756wpKgz7,1975-09-24,1142tzyNS4
78720,3827891859,2005,52,9bF4,09qo,88181,3953IqPvF7,2016-12-25,7672WjItx4
78720,3827891859,2005,867,9kM1,39XK,29126,0852wvzcg6,2016-06-28,2342QDkeX3
78720,3827891859,2005,489,8Re5,94aB,2657,6213RMhel8,1992-01-17,4574LdORM5
83638,9654139819,1990,327,2nd8,03JR,1715,5978Gmeal5,1980-12-02,4087WOKMu2
83638,9654139819,1990,482,1nS9,77EM,63741,6434hHvto5,2003-05-01,2360LDbgh9
58777,1370295522,1993,249,0ug3,35NP,87217,5629SXoeV8,2010-09-13,7174BnsdI0
58777,1370295522,1993,818,9HI6,07lJ,98270,7223hGNFM8,2006-04-10,5276GVRCA0
58777,1370295522,1993,410,6ij2,90oC,22964,1470rtBHQ3,1981-03-29,1738sIdel3
73720,9967825756,2002,817,2fg1,39KS,5654,9197rCMln4,2006-06-23,9116enAIM7
73720,9967825756,2002,34,9FH0,75yY,67783,7170DQYyh4,1974-10-12,6731xAXPq4
76076,7823214060,1982,565,5kx6,14sj,31129,6972TFLXT3,1981-05-19,3600StBML9
61584,7834435432,1983,106,1UN8,53zZ,19619,6806pawOK6,1972-07-15,5795IFmxx0
60110,1681070738,1988,199,3OO7,18fD,4305,7171xIDkd0,1972-04-14,9477pUtey9
28484,7901422254,2023,970,9vD2,77LR,54517,8580MMqZE0,1976-03-15,6156TwaTb2
36199,3018701725,2002,79,9Ro6,57iL,15452,2149wrnMW8,2003-07-18,0249ydJcV7
41939,8075947855,1980,441,4td9,41JK,8430,9734PeKAI2,2003-05-19,9820OSYUn6
41939,8075947855,1980,905,5KX7,30Ji,7367,3216mAtln3,1980-09-28,5508FiYpm5
41939,8075947855,1980,29,3le3,73Ys,20397,6723iXXvc6,1998-05-26,0354qEyam5
98663,8630119138,1980,966,2ox4,62fs,66290,3709uIQBn2,1970-10-29,5692KjoQR7
30183,7187230431,1982,281,8Di8,94xe,78050,7722hMTwp3,2012-02-19,0315ZvtvB2
12023,9115698235,2019,229,3Kh5,09LZ,86944,1091oNOUX8,1997-07-03,5231CdKfp5
77665,6320694923,1976,594,9wj0,36Bu,91466,0775OvGXD9,1987-08-30,2371VmsNc3
72988,7389482161,2011,634,5UO7,93EP,62659,6196hplHn1,2022-08-04,7659XkkEw5
72988,7389482161,2011,370,7jd6,25yH,11026,8013diGGz1,1975-09-11,8999EMrUD8
15119,2147474613,1992,346,3Oo1,99Zo,12452,5268pLvYN9,1985-03-12,0102OWzch1
15119,2147474613,1992,996,4Wo5,40nA,32094,5272rILBI8,1992-08-19,9077rNenq4
15119,2147474613,1992,169,4Kh7,74Gh,35308,5829GyBZZ2,2018-06-21,0648UAeNB3
60207,6412914693,2008,431,0AI2,22nQ,4359,4810WHsfG1,2001-06-02,0153DIzTh0
60207,6412914693,2008,449,0fI4,67IO,79614,8813hcHTE0,2017-02-21,7684drnFp7
60207,6412914693,2008,233,7IG3,11xG,28179,9051hIHQc3,1991-08-18,1867xypHI0
10997,1528447046,2007,475,4hg8,28vy,6302,0967yoTSH7,2006-12-06,1266kbUkR7
34452,5309073190,2021,43,1lf9,38JU,70721,3886mLvIN0,1982-05-17,1848jaefi3
44132,5384561627,2007,512,6aN0,68Jk,15968,7091EhVoc3,1991-04-24,3618LpVYO6
44132,5384561627,2007,968,4jw7,82XY,75242,6932KZDNk2,1974-06-30,3436SBHgD7
47289,373820388,1986,172,3xf8,06yy,1017,9025wGXsz1,2010-04-09,0394JTSfx0
92157,5418558967,1978,304,6Kq0,92xc,20042,8130xspTc8,2019-03-20,5488Zotrv3
92157,5418558967,1978,355,0Um4,43WG,21154,8688aMbJw7,1982-06-25,2392kJWGX5
19985,5404945978,1994,785,0Kx9,60QY,6473,5754KQTiz3,1982-11-10,7188AJEPX8
19985,5404945978,1994,469,1LX4,99AY,70749,0493cDFWL4,1990-08-05,6092VNnrP9
55817,6747512011,1986,237,6lC5,04kp,67895,6809dyKbn6,2011-06-24,3786rsPLx3
22480,7364927037,1977,220,6Yu9,92vS,15330,8843yElfS5,1983-06-23,6244UESlD8
22480,7364927037,1977,764,8hr3,01JQ,39817,6901fYQss4,2008-01-03,6820gyJtJ5
49477,2856845638,1999,156,4nw8,53Wg,73467,6179yVQos7,1988-04-23,1638WQLBF9
49477,2856845638,1999,212,1il0,69yl,68263,8973BIyXr7,2003-07-18,0231xYxSs8
81189,2258391555,2001,751,3mc9,71ig,23499,8159TmpPW9,1972-03-16,2251NPjUi6
81189,2258391555,2001,567,1nv3,55um,6436,1612KShxC6,2011-09-28,1383zILeq9
46601,7040990826,2013,508,2VL7,86RD,15759,9544CoQgV3,2016-07-26,4366xoUVC6
46601,7040990826,2013,340,3jD1,81Ik,91555,4047IvurB4,1991-03-25,7165PiLfE4
46601,7040990826,2013,327,4Kk3,97Re,10760,6378VWrhG0,1972-05-10,6995uWLWG9
86529,6970599981,2013,91,1ow4,43Mc,56745,2190RmSDv7,1993-02-15,3986svUvb2
86529,6970599981,2013,590,8qF3,67XE,92132,9873htUYy5,1987-07-26,8829dbahY1
99988,9674667947,2007,716,0wK9,50ON,41207,2139uWcTj7,1974-10-11,2438FTpQk5
36450,2879940566,2009,474,5VA6,09Cv,52445,2375ccNlF8,1970-09-23,8257bMYdG9
43493,9151926848,2014,716,1Ra7,84qh,85392,3115TngLF9,2005-11-28,3676vNBcg0
43493,9151926848,2014,974,9rP5,31Cm,74862,6126mDuwV2,2016-08-18,4819MDSiZ8
43493,9151926848,2014,155,4Xj5,41MA,8518,4822QynAi8,2021-08-12,4577VGarf6
81541,3846219603,2012,934,8og0,80Vb,17755,7215DyCrF3,1987-04-03,2038xjvyX4
51256,3448154048,1993,884,1xl4,13xm,19865,0793pomrD3,1999-01-30,4670MgZIU4
51256,3448154048,1993,127,7Mn3,54wN,4724,1381VoEvs7,2014-01-06,5006aOEFE6
13417,5041573244,2022,415,5Ol4,81ES,84417,8593CvJKO1,1974-02-13,9296etuOh3
13417,5041573244,2022,498,0XW9,06iF,11123,0389okdum5,1981-07-01,0779YlEVB7
13417,5041573244,2022,526,8Px4,64Yw,77641,0941HtQlX6,2000-12-05,8150rvivV7
88295,8815724861,2006,800,1rq6,15Fl,8970,2585bXgoQ4,2021-09-14,2627MKnkI3
9878,720193149,1976,242,8oR8,11yQ,71998,7074AbYNC5,2009-12-20,9657iLDxr8
9878,720193149,1976,448,6sG9,63QD,51526,5161jbCAj0,2012-02-12,2807MvvDm2
25322,3376237130,1991,937,1XQ2,10BZ,64235,0143msfLv3,1997-09-07,6859qrAMB6
25322,3376237130,1991,396,5Ni4,45IL,71726,3783nEAvv6,2003-02-13,9590GBVta0
86807,5837592711,1973,801,9ud8,97YH,1149,0627VqrDz5,1973-09-05,1814RWEwg8
86807,5837592711,1973,779,6Ax5,34PX,85082,9541jEPGF7,2022-08-06,6478dBAqD8
86661,2883879979,1991,384,6jJ0,54QL,82882,6535ciIAM4,2008-02-20,1687ETrEp0
86661,2883879979,1991,783,0mz4,31oh,30783,8269mDJWg4,1974-02-05,8973CUdMu1
