CompanyCode,DocumentNo,FiscalYear,LineItem,SpecialGLInd,SpecialGLTrans,Vendor,ClearingDoc,ClearingDate,AllocationNo
16650,7114592230,2007,653,5IK3,01GA,51229,9757zFvQE2,1988-04-27,3363wdOel8
83745,4383132901,2016,608,7Tp5,98Md,65874,2490GChHh3,1988-05-02,4939prJfE8
83745,4383132901,2016,963,6bH2,83gj,8646,8264wtcoY8,1989-04-17,9935rXUtt9
51520,149970435,1970,219,3HN8,24YD,5153,1511rrbSo8,1995-01-09,6308pycJF0
51520,149970435,1970,29,6WJ1,34Wb,97369,9673hqeCY7,2017-01-04,2413jcMYu4
51520,149970435,1970,312,3ss3,20vj,27777,1409NuMCO9,2014-01-26,4345AKhQA7
26662,90451176,1997,192,9RZ0,51AD,38079,2463wydHt2,2011-10-01,6976XEWHL8
26662,90451176,1997,593,6vC9,39GT,9292,0846FlyAL4,2012-12-03,7089BhBzb7
26662,90451176,1997,61,4nT4,74Qq,96067,8140zIKQM3,1987-07-28,0363iyXsX6
39247,8049335780,1998,476,1eu5,13ty,6856,5468wYejY9,2019-11-21,9355Codaq9
87156,6540454213,1983,482,6eU7,58aJ,10840,5493TvJhm9,1983-08-11,3422PHhMm0
87156,6540454213,1983,584,0hk0,26kp,32637,3364cbaQf3,1995-07-09,4874OtqCc1
60824,5049333955,2021,935,9kn6,38nd,70457,3625kHxDw9,2018-09-09,7866roXJS3
60824,5049333955,2021,418,5bV1,36JY,50581,7324OoLkQ2,1988-12-25,7229ycyEl4
60824,5049333955,2021,62,4MR8,71Vh,90631,8004vyNdv7,1976-12-17,1100fvPCD9
65367,825187044,1987,1,2RA7,15gX,48503,7956ubbmH4,1986-11-28,9957okuaL9
8641,519692779,1979,107,7da3,68cH,66977,6525PdIwh1,1972-09-12,3768fgLOm2
42778,6974983218,1982,449,6pH2,87XP,89778,1424dXwDn1,1975-08-07,0485VIQCg7
42778,6974983218,1982,553,0SM4,42PT,51305,9216qLRzL2,1980-10-12,4058OSiCg5
42778,6974983218,1982,649,8BP5,46Wj,78844,1577QBjgd8,2003-05-02,2187EnVrb4
30055,7743333133,2020,239,1ly6,34OY,18005,3626VtJQY7,2014-02-04,1491nunOD4
84483,6794215909,1984,9,5EI0,69vh,62001,7003SbUhH4,2017-12-14,8057zhwCo2
65513,1898659182,1986,165,3IC8,90FM,95534,0323LZaEw6,2009-11-18,3689aUEYG6
65513,1898659182,1986,31,7SM9,17YI,74813,0464bwUcU9,1970-05-29,3584sVaqb7
65513,1898659182,1986,834,8HM5,39wk,94297,9266NgOJI1,1994-12-09,3175zvyyA0
86974,5510973796,1995,938,0KH2,96CX,48669,2505CkVuD7,2017-08-02,1920MCNco1
21493,2801372780,2007,431,2QB4,24Ba,60401,9861oeBtW2,1975-01-22,2880qFuax7
21493,2801372780,2007,650,8eF7,54Am,54254,2033BLBdk4,2005-07-17,1350DzpFu0
21493,2801372780,2007,368,0nW1,06De,53980,8102JpiKT5,1997-12-12,0057OJxwo0
70234,3155654679,1978,234,8dX0,02ai,14965,4455vSfGq3,1970-06-27,4232SWIZw9
70234,3155654679,1978,10,4MI7,10xo,78500,7519jdOiG7,2018-04-06,0615HdhyK2
70234,3155654679,1978,187,8jl5,64Om,4313,7954qgMOd1,1993-09-09,3685OlKns9
52510,4854292562,2007,544,5wo0,17uv,57942,4689sSJee6,2020-03-17,4597hAKOe9
52510,4854292562,2007,502,2cy2,92oF,53520,7439XstTp5,1992-06-17,9148SOjhM0
52510,4854292562,2007,22,2cF4,55uk,11376,3162lzWQJ5,2014-10-14,1042sJAmH9
69468,7512137790,2015,221,9UJ7,84qz,28783,2957XIlTa6,1988-04-03,0169JfibS5
78720,3827891859,2005,52,1LG3,90SS,61302,7994rgaFG6,2011-06-08,8806yZAKc6
78720,3827891859,2005,867,3yn1,73fI,85909,9188JZATP1,1999-02-14,3176OMlon3
78720,3827891859,2005,489,6JE7,27Ye,60214,8904QmZYb9,1994-01-19,2619XlaYs2
83638,9654139819,1990,327,5Sd3,39Fn,5874,7117RZLta5,1986-09-09,2549ywygX6
83638,9654139819,1990,482,1xz8,03DW,66950,1328veqnz8,2023-01-18,5862sBtek9
58777,1370295522,1993,249,3MR6,96Ux,29161,0113onWzD3,1997-05-16,7872KubNh3
58777,1370295522,1993,818,0ND4,28Vu,50473,1476VhSXr6,2017-11-29,3664ZqIVQ9
58777,1370295522,1993,410,2gW5,71uH,88937,7775LoNjv6,2003-05-02,1428AUDyH9
73720,9967825756,2002,817,6Vq7,17cw,86851,1179xJveI6,2020-06-26,5748dyTHb5
73720,9967825756,2002,34,3yu9,77SU,35838,1771dRUGc6,1972-02-29,1797douwh5
76076,7823214060,1982,565,1Ub6,25Xd,11068,9758CPKfZ7,1971-05-09,5088xGRDD6
61584,7834435432,1983,106,5OB2,80nW,23287,8688mucIY1,1973-01-09,1123HAllX5
60110,1681070738,1988,199,0Sb5,64AQ,27292,5744mYsiG0,1980-05-27,0007hQGEZ8
28484,7901422254,2023,970,8TO5,76ch,70880,8283KGATB0,2018-08-03,4370jGCdS4
36199,3018701725,2002,79,5wZ9,78pi,5236,8399szsnW9,1997-01-21,4453NpmYU4
41939,8075947855,1980,441,0ci7,83df,6094,7682jBqlX1,2005-12-14,7822sJuHH8
41939,8075947855,1980,905,9Vt6,45vq,99328,0642lEWIC7,2013-09-16,0722hugtM4
41939,8075947855,1980,29,8DF4,82MB,50450,4402iuhSI1,1984-01-26,5064pcXFi5
98663,8630119138,1980,966,4gA7,03Da,50012,8385zAhLk8,2017-05-03,3919dXRgD9
30183,7187230431,1982,281,0tt0,06gZ,19992,3902rGjBz4,2000-02-04,7376vDGIz0
12023,9115698235,2019,229,0uO6,49GR,49130,1077Aljeb7,1995-11-18,5414xRjya0
77665,6320694923,1976,594,6yC8,77Mm,16833,8706wULKR5,1979-03-01,6746pwkLS9
72988,7389482161,2011,634,5VL7,93KM,97295,4138LHQPk3,2007-07-18,4615dXZrP0
