CompanyCode,DocumentNo,FiscalYear,LineItem,Amount,Currency,DocumentDate,Vendor,ReferenceDoc
16650,7114592230,2007,869,501,MOP,2000-03-17,33927,198
83745,4383132901,2016,350,8,BZD,2013-10-25,91900,251
51520,149970435,1970,584,162,BGN,2004-04-18,53412,232
26662,90451176,1997,45,398,KYD,2022-01-22,21105,674
39247,8049335780,1998,107,351,MXN,2020-08-10,76295,866
87156,6540454213,1983,468,241,DKK,2005-04-16,39473,963
60824,5049333955,2021,649,244,LTL,2005-09-27,97905,778
65367,825187044,1987,255,355,KRW,2007-03-19,17869,745
8641,519692779,1979,260,405,NIS,2001-12-20,48829,429
42778,6974983218,1982,644,792,XCD,2021-08-01,92646,596
30055,7743333133,2020,940,785,MYR,2001-11-14,94407,390
84483,6794215909,1984,666,906,PAB,2006-12-21,51229,80
65513,1898659182,1986,36,971,GIP,2009-03-19,33468,442
86974,5510973796,1995,803,246,ISK,2003-07-31,46081,318
21493,2801372780,2007,676,624,LAK,2006-02-19,92550,661
70234,3155654679,1978,700,427,RON,2000-05-04,73946,909
52510,4854292562,2007,627,545,TTD,2014-02-05,46911,962
69468,7512137790,2015,651,903,BDT,2009-09-27,70835,741
78720,3827891859,2005,101,706,LBP,2020-10-03,14622,23
83638,9654139819,1990,78,87,BIF,2011-04-01,40399,953
58777,1370295522,1993,503,380,SAR,2010-07-31,82209,698
73720,9967825756,2002,117,947,ALL,2006-10-13,67056,669
76076,7823214060,1982,181,566,IRR,2007-05-19,93753,663
61584,7834435432,1983,190,750,BSD,2022-06-05,2094,146
60110,1681070738,1988,10,108,LRD,2017-12-27,78368,449
28484,7901422254,2023,109,609,DZD,2019-10-24,12101,537
36199,3018701725,2002,879,934,MYR,2009-04-22,65339,471
41939,8075947855,1980,21,478,TTD,2023-10-25,63545,148
98663,8630119138,1980,315,119,KWD,2016-07-19,89981,430
30183,7187230431,1982,977,414,PAB,2017-03-26,664,33
12023,9115698235,2019,142,101,HUF,2011-02-10,65556,706
77665,6320694923,1976,993,393,VEF,2003-08-13,73820,308
72988,7389482161,2011,883,339,AMD,2001-10-30,4313,730
15119,2147474613,1992,453,587,GIP,2005-05-21,14783,769
60207,6412914693,2008,365,585,EGP,2013-04-05,27558,16
10997,1528447046,2007,547,90,MWK,2005-04-30,53247,836
34452,5309073190,2021,177,282,BTN,2016-06-28,15441,399
44132,5384561627,2007,715,900,SYP,2007-02-26,46215,877
47289,373820388,1986,788,578,ILS,2017-04-16,46013,123
92157,5418558967,1978,878,441,GYD,2017-12-24,3634,7
19985,5404945978,1994,556,136,KWD,2018-03-01,66879,759
55817,6747512011,1986,624,917,XOF,2001-11-01,22054,401
22480,7364927037,1977,535,537,CLP,2016-05-22,96965,845
49477,2856845638,1999,175,234,MUR,2008-08-30,3135,873
81189,2258391555,2001,443,827,TZS,2003-10-17,59748,796
46601,7040990826,2013,262,397,CDF,2016-10-13,88506,568
86529,6970599981,2013,621,798,LTL,2016-01-15,27778,269
99988,9674667947,2007,758,666,ILS,2014-06-02,19552,103
36450,2879940566,2009,113,22,BOB,2023-06-30,21462,636
43493,9151926848,2014,489,434,BMD,2015-05-10,40558,577
81541,3846219603,2012,3,973,NIO,2005-03-14,74243,260
51256,3448154048,1993,224,290,IMP,2014-12-25,64966,814
13417,5041573244,2022,216,412,ZWD,2009-09-23,92542,396
88295,8815724861,2006,867,560,EGP,2001-11-20,64013,421
9878,720193149,1976,592,966,BMD,2017-08-15,43192,641
25322,3376237130,1991,635,499,USD,2017-12-07,93204,122
86807,5837592711,1973,7,718,MMK,2006-11-24,53810,389
86661,2883879979,1991,71,815,BOB,2016-03-16,16475,266
75597,2521560495,1994,18,21,BDT,2017-08-06,70214,309
60816,1106540490,2003,948,38,BBD,2015-09-10,15990,341
86129,9584403139,1981,628,956,CUP,2010-07-12,68751,140
34432,2210102360,2017,278,875,PYG,2010-08-31,2692,843
60192,5356412810,1978,962,850,BSD,2004-12-26,65809,620
23472,4803684405,1975,581,623,TZS,2005-08-03,25977,999
23629,7530407711,1980,357,866,CAD,2006-05-02,88519,528
36364,463509511,1993,608,288,GTQ,2008-09-29,27778,355
56674,5838264448,2011,598,534,ANG,2000-04-18,83859,495
41404,5681731798,1992,240,560,IRR,2003-07-14,10659,612
11573,7361961257,1976,178,713,AUD,2002-08-02,24750,144
93562,9810089161,2004,539,574,SBD,2015-05-07,16240,102
50338,9481392065,2015,834,130,PAB,2020-10-28,60869,904
40495,2128906563,2009,236,62,GEL,2019-09-26,98279,324
53322,2594926091,2021,64,583,CZK,2007-12-19,37782,935
33777,1740933888,1995,808,469,CRC,2004-04-02,67609,980
39559,3464867827,1982,719,553,SDG,2022-08-01,37704,147
84315,6394531697,2001,589,73,TJS,2002-12-12,93322,595
73599,4341380386,2022,167,329,STD,2023-09-11,45048,747
66735,288714683,1980,895,432,EUR,2008-05-25,53026,421
7347,9474006381,1988,176,277,MXN,2013-07-18,12851,11
15325,5965285311,1989,426,346,CNY,2019-11-17,55948,672
44841,2961254533,1973,207,277,IMP,2010-01-13,15118,534
97416,3411176189,2000,372,97,IQD,2012-06-07,20976,239
64749,2012943330,1983,757,153,TTD,2018-04-01,35415,664
28317,3626303145,2022,386,962,MKD,2005-07-25,43110,555
22451,8253110846,1995,682,489,PHP,2020-04-27,67713,577
5591,3720662354,1980,766,816,SOS,2003-07-01,1723,726
48635,9596200030,2019,655,38,ZAR,2002-03-11,74017,264
38502,9268747068,2011,526,419,KES,2004-02-09,53405,621
17183,6910015398,1983,825,178,CAD,2012-11-09,33599,753
21951,2424121870,1992,59,956,ALL,2006-01-27,53672,141
40761,183393841,2024,288,643,RUB,2023-11-30,74317,748
40830,6330761423,2021,154,860,ZWD,2015-10-02,60617,911
89822,333497192,2009,803,376,GMD,2017-10-24,2503,35
74695,1749042983,2005,724,205,MOP,2002-07-30,53103,408
96036,1218146788,2008,171,530,ZMW,2005-04-17,24069,985
51543,3164325348,1977,330,877,LRD,2002-09-09,72783,565
30522,4285627964,1979,625,54,SGD,2000-11-03,51652,236
