CompanyCode,DocumentNo,FiscalYear,LineItem,GLAccount,ClearingDoc,ClearingDate,AllocationNo
16650,7114592230,2007,653,8OC1,8799hTAgt2,2016-02-25,1347PNyfB7
83745,4383132901,2016,608,0Yw4,3850OOTGs3,2013-05-07,6557DSeaZ0
83745,4383132901,2016,963,6wG6,8721uaWXs4,1994-05-29,2686yRmng6
51520,149970435,1970,219,8TI7,5658VXaza5,1991-12-07,9435qHcWD9
51520,149970435,1970,29,3bg8,8243QcoPR0,1984-06-01,2522HgjIY7
51520,149970435,1970,312,5xp8,3770FYOGp6,1973-11-02,3227ACiMQ5
26662,90451176,1997,192,1DH7,8543wVWtm7,2014-02-24,2301HobiX0
26662,90451176,1997,593,8BM1,0409pyaIO4,1987-07-02,9643pzcuc0
26662,90451176,1997,61,6je0,4529OLaVw7,1977-11-21,4789FgrBs8
39247,8049335780,1998,476,3Fq8,1767lrJnf3,2019-05-30,9114RaEJJ8
87156,6540454213,1983,482,5tk4,0332unBOZ0,2016-02-05,4585utcyQ9
87156,6540454213,1983,584,1RU7,5806Mcvpd3,1976-04-04,8433HoHrl3
60824,5049333955,2021,935,4NG9,3098efJVf0,1978-10-16,2989mUKjJ9
60824,5049333955,2021,418,7IV6,7863Uqmws3,1998-04-05,2175YFJaW5
60824,5049333955,2021,62,2ga6,1817vBFDY2,2014-12-09,9086hddju6
65367,825187044,1987,1,3St2,9280ggqqp3,1972-01-30,2317uhnVX0
8641,519692779,1979,107,1OV6,0687JDqvp1,1977-08-17,9290hkEOS5
42778,6974983218,1982,449,0HR4,1273qOcme8,1979-12-17,4841izcks1
42778,6974983218,1982,553,4gC1,7262IlsPX5,2004-04-28,6099BoAjR8
42778,6974983218,1982,649,7PI3,9804YzFXk9,2009-04-01,4531CwhWn0
30055,7743333133,2020,239,4BN7,7056sHuHT8,2012-08-05,6466rSFhb8
84483,6794215909,1984,9,8TW8,0234gVBgo2,2022-10-31,7795tWezH8
65513,1898659182,1986,165,4ps3,8774EoBvr7,2016-07-26,0256hsafc4
65513,1898659182,1986,31,4kp4,4509FrUeA8,1997-10-07,8217fSFYD7
65513,1898659182,1986,834,0xT2,7631oFsTV7,1982-08-23,0541JFAuQ5
86974,5510973796,1995,938,3OO3,5303loMHr2,2014-03-20,8532bviqD2
21493,2801372780,2007,431,2yj4,9923ujsqT7,1987-02-03,1641gCHRq9
21493,2801372780,2007,650,3ud5,8505czCgr3,1981-02-19,5996jXOyx9
21493,2801372780,2007,368,8kP0,3341kommM2,1980-07-31,9341lDidc9
70234,3155654679,1978,234,3Mu6,2419WQJVI0,1996-02-03,3434GNxeC9
70234,3155654679,1978,10,3Ar2,4409ooHza4,1991-07-18,7811paZgF3
70234,3155654679,1978,187,1vp8,3850RxVyO0,2010-02-16,3448dGVhQ2
52510,4854292562,2007,544,1ML7,2395TiCEh1,1987-11-05,8621WZBcA6
52510,4854292562,2007,502,2br1,1377lcnem1,1983-05-11,6549WtMHn9
52510,4854292562,2007,22,0oQ0,3179kbpWL1,1986-11-04,7943fvlYv9
69468,7512137790,2015,221,0eP2,0298rSNJq3,2003-05-29,9319rkPOf9
