IntercompanyNo,CompanyCode,FiscalYear,DocumentNo
5222,16650,2007,7114592230
5222,83745,2016,4383132901
5685,51520,1970,0149970435
6930,26662,1997,0090451176
6930,39247,1998,8049335780
6930,87156,1983,6540454213
8852,60824,2021,5049333955
8852,65367,1987,0825187044
7970,8641,1979,0519692779
6126,42778,1982,6974983218
1245,30055,2020,7743333133
1245,84483,1984,6794215909
9826,65513,1986,1898659182
9826,86974,1995,5510973796
9826,21493,2007,2801372780
7068,70234,1978,3155654679
7068,52510,2007,4854292562
7068,69468,2015,7512137790
5257,78720,2005,3827891859
2832,83638,1990,9654139819
6296,58777,1993,1370295522
2869,73720,2002,9967825756
2869,76076,1982,7823214060
2869,61584,1983,7834435432
4094,60110,1988,1681070738
4094,28484,2023,7901422254
9048,36199,2002,3018701725
6761,41939,1980,8075947855
6761,98663,1980,8630119138
8435,30183,1982,7187230431
1791,12023,2019,9115698235
2781,77665,1976,6320694923
5086,72988,2011,7389482161
2843,15119,1992,2147474613
2843,60207,2008,6412914693
4942,10997,2007,1528447046
7055,34452,2021,5309073190
7055,44132,2007,5384561627
8608,47289,1986,0373820388
8608,92157,1978,5418558967
2942,19985,1994,5404945978
2985,55817,1986,6747512011
2985,22480,1977,7364927037
2985,49477,1999,2856845638
2410,81189,2001,2258391555
2410,46601,2013,7040990826
7291,86529,2013,6970599981
7291,99988,2007,9674667947
9836,36450,2009,2879940566
9836,43493,2014,9151926848
9836,81541,2012,3846219603
2879,51256,1993,3448154048
2879,13417,2022,5041573244
6456,88295,2006,8815724861
2182,9878,1976,0720193149
2182,25322,1991,3376237130
2182,86807,1973,5837592711
6426,86661,1991,2883879979
5762,75597,1994,2521560495
5762,60816,2003,1106540490
958,86129,1981,9584403139
8868,34432,2017,2210102360
8765,60192,1978,5356412810
7810,23472,1975,4803684405
7810,23629,1980,7530407711
7810,36364,1993,0463509511
955,56674,2011,5838264448
955,41404,1992,5681731798
955,11573,1976,7361961257
4724,93562,2004,9810089161
4724,50338,2015,9481392065
4724,40495,2009,2128906563
7331,53322,2021,2594926091
7331,33777,1995,1740933888
3098,39559,1982,3464867827
3098,84315,2001,6394531697
9520,73599,2022,4341380386
9520,66735,1980,0288714683
9520,7347,1988,9474006381
663,15325,1989,5965285311
663,44841,1973,2961254533
663,97416,2000,3411176189
4243,64749,1983,2012943330
4243,28317,2022,3626303145
7290,22451,1995,8253110846
7290,5591,1980,3720662354
3712,48635,2019,9596200030
3712,38502,2011,9268747068
5357,17183,1983,6910015398
7511,21951,1992,2424121870
2997,40761,2024,0183393841
2997,40830,2021,6330761423
2997,89822,2009,0333497192
2299,74695,2005,1749042983
610,96036,2008,1218146788
610,51543,1977,3164325348
8051,30522,1979,4285627964
8051,77362,1997,0512838993
8051,13251,1980,7292991524
1232,3974,2018,2029260558
1232,13178,2015,2713361682
8603,96878,1997,3174065521
8603,92635,1992,3674403509
2737,91184,1986,6064390744
2737,72401,2003,2418498319
9735,33426,1986,2110437913
1819,40194,1990,9418708343
1819,12708,2011,7251366091
4582,23979,2022,6643882813
4582,3701,1975,4728068599
2338,38949,2023,4806965276
2338,47902,2001,4597371763
4364,26279,1977,8072687432
4913,19020,1987,0608457826
4913,84879,1993,7544797317
4671,696,1995,8304768456
8343,61333,2000,0324011238
8343,24254,1995,6454529056
7805,91898,2008,4537899692
7805,64170,1989,4356000976
7805,71686,1985,6901572172
1073,11272,1987,6665213212
5121,21308,2010,6622467516
5121,24978,1988,7272517647
5121,22148,1988,7580791964
5527,68717,2014,1476204519
5130,10625,2021,1258705281
5130,72843,2001,3683838534
952,25134,2016,8107198530
1611,75572,2003,8119162035
2842,112,2015,3480396560
1621,48098,2024,2731954203
1621,24333,2013,0509348341
1621,13356,1987,0564840006
2038,63731,1974,8283406297
2038,56942,1977,6800000851
7851,12848,1972,3819072419
4818,43596,1988,0695344192
4818,60778,2012,8095397727
4818,73135,2014,1543109593
6111,4877,1990,7049017308
6111,19175,2024,6945497332
6111,73160,2002,4281475412
7867,32088,1976,8014645637
7867,88336,1995,5203179378
7867,6630,1976,7850507009
8097,3030,2007,7680278253
3688,44151,1986,4822696191
3688,14620,2008,7298022841
6804,67306,1986,7682218939
6804,48824,1972,8769414754
6804,78582,1981,5315781965
4664,1041,1981,1222548043
9432,92417,2005,0475241108
7229,54877,1981,2236898398
7229,79614,1987,1651032939
7229,46454,1972,8859507963
6904,31032,1989,2558186506
6904,16123,2019,4601346684
5265,38116,1973,9859690587
5265,36696,1973,6380840997
2822,27754,1979,8093088444
2822,65190,2008,4311483528
4813,48628,1971,1831603784
4813,35758,1983,3399308850
4813,43808,2022,8189907729
9587,16055,2001,7593697462
9990,74875,1996,7074322194
5392,12551,1980,2413544175
5392,36646,1970,2335278909
5392,79745,2007,9583147294
7120,31083,1985,9878219372
7120,80041,2012,0424732149
7605,9547,2014,5892992223
7605,38457,2000,1157209492
7605,44262,2019,0528368357
5024,94868,1979,9301926256
5024,7301,2006,9971698727
5024,40522,1989,5271696484
2075,63672,2019,8884433372
2075,39841,2016,5513372461
3693,35734,2019,2223572514
3693,57260,2022,0382363516
3693,5787,1984,5425502153
3676,80669,1991,5875210057
3676,63269,1975,8020407395
3676,94717,1976,7360942962
487,93290,2023,7720048686
9898,48461,1995,3250165436
915,35629,1993,1439261750
915,80229,1997,5185874667
9354,69772,2010,8459409954
3786,44672,2011,7151169904
4190,9986,2012,0440517125
4190,70073,2009,0251838069
7296,34164,1988,0253409968
6832,1734,1986,7284852574
3209,98149,1980,9649986075
3209,39882,1986,7169958001
4939,9424,1973,8859320308
4939,58567,2022,7610832526
2954,3469,2016,4185657804
3778,98741,2000,9129804749
3778,54382,2019,6290868063
2395,14145,1990,4208473448
9235,7347,1976,4158135055
9235,83393,2024,2303570021
2381,58181,1977,0291234566
2381,70420,2020,9713942752
2381,50319,1983,9659179588
802,64003,2011,5191249722
802,30456,1971,9653236032
9417,93814,1984,6451691967
9417,33336,1987,1831574523
1020,59746,1980,2312296059
1020,6650,1979,4895595953
8451,41329,1970,3599717044
8451,62551,1990,4504466503
8451,95709,1990,1517509525
7376,34528,2024,6649837300
7376,32804,1994,6754332849
7709,69469,2006,4300751437
7709,91041,1973,0551172205
3538,53838,1992,0007456062
3538,33725,1996,8069979680
3538,94329,1991,6060166386
2076,37575,2010,1613445503
2076,28908,2008,7009820637
2315,30080,1986,4446780115
9827,3983,2001,8271928258
7612,24613,1977,7593090168
4012,33575,1973,5897536439
6628,9886,2018,3585163506
6628,60348,2024,0743796206
2991,55309,1996,9051381197
2991,48343,2021,2455547450
5299,71654,2020,2012510601
5069,45441,1972,4308982934
5069,41679,2024,0253249452
3470,15617,1994,5355308987
4343,36200,1988,9996099976
4343,32917,2021,8092263182
4343,73450,2005,4681306867
4275,90081,2006,4716293624
4275,64801,2002,5809743456
2247,44844,1973,0976983127
56,28548,1984,3163400166
56,54856,1971,3057839818
56,41025,2002,9805884293
