CustomerNo,CompanyCode
67440,60123
56667,441
27656,76411
21286,75480
90200,90722
85059,19032
6832,16956
23355,30197
30250,38684
35757,71408
53512,39309
22569,47883
17755,34443
50669,13662
78918,266
37582,69835
67484,35124
46547,88323
387,50279
71535,75064
16483,52997
3619,56567
96033,44226
78496,11495
42608,74706
43667,99130
10924,55556
1890,77601
36179,23516
73586,63957
84705,6568
75759,44185
62527,80104
36356,34639
58606,63572
42281,14753
76872,87090
70097,6622
60025,97125
75986,64678
43619,10665
27825,60728
91211,54387
48053,65991
11589,20244
31321,45040
81649,86181
62396,49084
87711,34267
52199,36269
5679,96310
92052,27932
9404,99622
60709,60034
23818,78201
58914,21388
11036,12034
79980,15017
57487,54511
24678,23662
96093,55202
4957,53071
66714,31446
68364,23389
62361,20997
79444,34635
7396,61517
2655,96766
84490,64700
55332,36760
35585,3325
72467,74979
66915,24747
1728,57794
63097,16043
23109,13451
140,85104
73800,88737
90273,9986
63896,12514
27217,17777
58444,44921
32136,81095
47913,57183
50332,43994
93978,25908
57468,66318
64622,63881
19587,40486
857,20590
47486,99810
56858,12738
43374,13251
6090,2303
98195,28219
71184,68379
53832,80906
36276,35384
34823,55777
50656,87237
40118,72955
13729,12111
65979,85807
48429,26049
4795,76737
17813,79825
14153,88336
67376,90887
71542,46417
18458,27623
85879,5870
76944,64352
47366,87197
76019,34614
46249,24434
6502,17354
56735,24593
51383,72378
5321,33051
15117,89971
94643,74993
66912,50534
10090,28248
12323,24323
45680,11195
21729,77646
48580,93658
54597,13711
86640,40322
37892,3155
76536,64964
46391,9923
47203,61640
68134,75975
99602,21268
9826,46454
88681,89009
91226,23973
81158,69935
22317,83831
95187,96787
29402,7973
20789,98725
8936,88308
71670,69104
46630,24902
65877,81200
66327,23821
28552,84720
65305,53344
95772,9110
29265,80229
61633,86335
40142,70127
60771,51568
970,70480
64805,9851
29860,24293
24841,53566
40601,69050
89317,59535
43729,11861
47096,97234
87576,19119
70680,82068
66619,77137
84065,95920
61125,62045
84635,19700
15968,12023
31322,32979
20548,73307
35141,69511
31018,55517
59219,90346
73495,48384
60667,87244
62169,84177
14882,52103
72109,8706
27682,86052
69514,58913
87730,64845
325,89616
63800,19528
17016,26739
2082,22809
78635,1137
22174,11191
60203,3974
49945,35464
85631,29867
65909,57832
89842,81320
50257,40368
89733,39905
71110,21226
38778,61084
61079,12289
11207,88249
399,11930
62465,55145
13747,3067
53120,39685
92162,53871
90922,43021
19548,98507
218,30873
47433,17751
10047,41157
4643,76361
934,50950
57324,99502
18005,8542
15322,43773
60999,59655
14896,72843
81441,35827
58977,55595
10725,75009
79368,17960
17197,22855
38192,72259
51693,58419
34039,81389
9334,88878
23833,60529
11602,70589
71988,8054
71598,67482
59889,63498
31672,91970
73543,22583
97899,66781
72904,26303
81513,76131
44164,75299
59907,80625
69424,14976
50061,35712
96218,56199
65069,51382
45908,5125
36138,79351
7406,72554
15432,89275
75935,62354
17653,77187
1555,96511
24504,38060
62458,31723
67828,12086
84719,30378
81067,26032
60797,61862
5869,93734
13794,6126
64723,66362
30897,71415
32462,82338
35441,23645
16185,46565
24969,40296
27228,59769
57250,56943
76575,77412
85147,71488
31197,62330
4713,1397
50797,97836
2416,49776
68761,41765
15557,91323
56843,62082
30025,84637
82336,96816
72727,16141
76913,79060
46280,75098
6820,74944
52082,83943
29298,88100
52039,76045
34296,67172
87248,55911
16288,95805
33933,96895
16420,11883
337,13063
55183,80221
16049,1230
76532,183
91510,1600
92575,52966
49184,92118
61642,15897
56908,93128
24388,49641
50687,28509
73609,72037
55896,52149
31245,50694
63955,6113
80494,54659
89996,18361
91349,25248
6360,51423
50913,32792
78879,49368
41213,70635
41989,81701
95287,32332
94942,67961
48996,52510
56252,1304
57438,14700
95032,63004
78537,87124
70720,69401
54358,64135
48060,77287
12486,90305
59560,57267
53091,29489
56506,92652
36570,63283
50904,28373
74636,10953
87011,46498
23233,2664
85086,27639
27451,35888
26415,28335
4753,4106
24149,31343
75189,31633
88125,36020
99100,2269
5080,83067
51006,93048
74534,35038
99716,27898
86667,63267
39562,82612
42971,23979
11533,28701
35553,16423
87364,24700
52391,70398
40251,30882
18213,68289
86278,23609
23125,32233
33984,57498
40708,98602
5673,38145
68263,12156
64500,48934
63306,73753
52714,94330
98433,10570
1710,17278
75293,13117
95582,13786
98880,26898
65547,78358
30379,14409
75288,27916
98548,81322
65509,91777
41867,22057
31929,13417
57490,26163
91316,95636
68150,47553
49824,75828
41977,18571
66174,90927
70300,31789
16463,38800
20234,6763
71170,94167
62345,59554
59583,68838
85734,99040
89582,19765
81346,15618
61662,62924
77834,1940
20949,9431
92455,69150
91084,85257
80164,70181
32975,20
63259,65158
94800,88644
8795,40546
14188,2420
85843,8478
3901,57399
89061,61326
95451,18919
16563,88588
82206,63685
57536,60860
94956,5575
99345,32950
74050,86778
34472,47892
99266,95386
46817,81908
90761,99057
58883,92461
70731,53410
53323,75425
58389,22255
95365,44470
80526,10147
66277,20870
16707,44387
40980,16313
4810,37901
38264,92517
98284,25272
82500,49436
48531,78317
84434,11759
9269,31007
23571,59625
64197,17917
80051,82431
4235,48708
97457,50166
61696,96968
14161,74593
90566,5519
78871,22304
38046,33812
41970,27996
90501,18551
63414,83690
25771,24847
31241,1055
85240,88326
45191,45345
84301,9380
24445,41462
26884,53697
3395,89410
83454,92738
49035,55654
1928,74608
18086,21924
29377,10087
36392,40550
85800,8716
41479,22124
72730,5062
44806,10853
34383,49536
38065,8305
35946,95659
56551,76081
76566,55686
7706,47451
39643,69968
41140,64020
29013,97195
18080,44841
77940,6990
69539,51092
45789,15917
26917,89074
97415,1306
51297,57175
57252,79727
26342,44183
86592,1301
75722,28742
65141,77435
27383,41419
19249,22198
52967,769
66831,98732
63729,98269
31093,49899
48163,89732
59019,89040
26326,80931
74655,4066
83901,99166
65739,86497
15649,52641
31379,29636
3443,49843
95125,97192
58927,94966
80172,24610
47531,57578
25407,3432
4912,24566
38872,95469
13376,69121
85067,19160
7188,46954
18892,76469
40431,31730
61421,79188
63319,45644
91655,21739
22178,70754
16835,18723
23153,35297
45835,43945
1935,69946
57108,69297
15330,60544
79542,74297
97435,40907
24721,52548
6826,48627
81190,10909
57951,32972
46086,90729
66161,91866
91295,37349
86089,25331
68333,84385
4040,18679
80931,8335
61531,79512
9712,78093
54769,16791
86766,88382
68567,24768
85324,78223
39382,24424
49448,17813
60011,44004
65172,5769
27386,97623
11191,70855
91268,63721
67267,44022
32065,47492
94546,68265
99337,62753
5636,52065
7466,39446
77103,88078
10169,58946
20024,35519
24313,73599
82122,20712
63983,13485
59523,55896
94126,82080
74005,46560
65182,88684
65343,70347
27555,82517
94235,2941
38235,8837
61887,47688
11124,68267
87442,16981
24472,91789
91543,80314
23451,49519
41492,93814
88709,75585
5486,94755
86536,59746
38506,90017
9050,24055
50665,2862
76550,81835
66195,95486
17174,88624
69040,51412
44941,18638
76175,39043
51139,71560
72200,61058
87935,6402
11791,28022
6608,22425
16546,48715
81295,58123
76581,49695
52675,33283
26873,54772
19348,40773
34619,63271
36735,49465
98670,11540
11991,49989
47110,28650
72675,4864
61660,83976
84771,88964
14075,20927
74268,79440
79576,50568
79186,98594
61167,70576
23681,46263
68784,40980
94843,27605
78101,60256
74265,37321
63539,2138
12485,41153
401,47170
33976,8374
9471,37715
40084,57640
15461,67000
96263,42665
76001,55343
86427,51910
7866,17380
77036,7730
2993,6059
82834,7816
28754,80923
30474,77025
42437,36800
31831,61473
7923,89237
34415,76713
19985,72797
84827,29809
14228,41401
20320,26635
90463,81164
87100,7840
47670,50757
62509,3376
11719,34663
26446,79986
42885,90124
7576,44445
96726,14809
21706,83536
75764,87258
9982,56010
1146,64003
48628,36818
77269,34760
14553,6007
52406,54280
81804,15757
32937,50232
95112,98118
22298,74091
71486,24198
21344,91798
1033,75589
76961,9441
1630,94482
26786,41235
12939,2647
18018,97762
73715,1357
35166,94826
9053,2343
58948,90388
19014,81571
2787,58976
92280,4159
57974,40622
11066,11264
31407,77721
41036,15898
53458,24613
36295,26703
17175,40515
87714,78534
48317,21236
10672,69360
34870,96911
8578,69917
27426,37221
81473,85135
58733,33938
46843,43363
11927,62253
97028,87640
52517,43756
39924,51619
9425,40101
31286,35282
43486,59478
32285,18252
27949,11319
14602,46874
44137,56867
8320,22779
29502,31023
38331,11510
5614,87491
67489,27843
60580,15734
55887,80029
54211,88207
82750,62844
1017,46170
17441,52619
31462,81611
13509,48737
77855,57763
8253,66899
24300,96870
36922,50541
77974,32510
84761,62518
95295,65386
32925,14733
34004,80926
10498,99467
26659,50671
30328,77052
35175,86194
65462,62847
37952,26982
12783,52147
84450,73160
84677,68043
36323,30346
17147,75128
24117,45462
84829,27472
83638,74238
58961,30218
87002,54610
8174,56075
25897,90081
23085,33568
40674,16758
68689,76511
25167,82441
9732,66178
10015,9633
60515,68069
28805,92651
48155,61262
99571,7942
65054,61602
22723,8600
41388,15355
90225,25832
72228,60630
1083,85679
16695,76344
98310,41763
90276,13695
56714,14896
175,66709
15692,85269
65060,77031
63405,9231
47642,71846
83413,22254
26789,34302
18613,35258
15550,49467
38243,76908
46449,7748
41217,62369
16599,27591
8234,8609
79153,135
28642,526
53353,36624
40035,65484
25684,35507
73075,93777
43318,25322
13371,8623
33857,61818
10891,27796
31450,15536
86865,8412
33174,41869
79346,14648
83531,33921
80105,15870
45229,20300
16182,53289
33157,5107
65151,31887
49043,80998
69195,37097
13814,95750
4592,36594
31318,74481
16089,53245
95966,41498
84632,54342
84648,1194
89232,26863
65826,67099
14755,2296
41668,34388
42367,93247
93295,70143
91594,57157
21208,35508
58216,91421
28077,97663
48595,32457
47367,93064
11976,45583
87358,37991
92656,79162
9533,19469
22939,88136
80818,81793
29875,75071
21488,4297
97666,22386
66433,89668
12417,44371
15578,56678
14387,64314
4757,89141
55679,65015
99036,94471
42520,61679
52348,15158
39243,33550
17215,41559
19731,52680
33000,939
99873,56500
20820,34932
40978,66467
38320,31818
61288,63952
65951,93046
69465,43752
8901,2007
41253,41486
18739,57259
97238,54928
61664,99141
59353,71847
47564,87204
75220,81214
97208,49092
11048,95515
92741,56604
90945,78345
84035,20426
44794,90820
57059,49709
74018,63663
22699,49840
79280,71182
35805,87917
15818,16892
98133,10426
1420,19207
47289,68972
9183,86877
36178,90523
11966,94480
21784,99340
58939,19846
39353,17154
97735,89076
59736,33759
11385,23520
78565,95889
92833,8513
29296,40405
16119,2804
36802,31199
42394,50639
59806,96985
80458,35693
2018,48461
86105,75545
68293,77049
48877,52651
17001,89108
60196,12570
49156,42530
52578,59201
82081,32676
24208,37666
20303,60165
29009,14580
38140,44838
27330,62547
82073,11674
77820,89692
24332,41063
53717,39752
44149,49785
22143,1511
52523,15445
42152,52745
24751,92700
37650,31577
2665,77835
98136,31866
88788,23977
47370,58322
93765,48653
45981,9791
39418,36372
24904,23729
45122,67713
81690,78210
19261,81890
87113,68705
28236,49022
92258,97835
21909,14311
29955,2881
34261,33863
12000,56408
29263,57725
35588,99304
26385,82494
88264,51397
74332,14762
45576,9218
25318,11619
12250,93010
69716,92795
58810,75961
34600,65173
47709,34792
46628,69404
98513,60602
63477,70898
62158,40426
63920,39750
1542,75922
76431,9876
94562,91023
33817,53121
50900,21980
34428,27101
81529,38502
58425,77142
98750,62839
7007,65367
72048,77213
85545,94692
72356,12551
30770,13918
13646,14208
1081,4090
17360,55466
87333,51894
25024,32199
32548,80082
9786,81363
47786,4083
74086,34595
74303,76032
45621,12218
57949,93766
79396,86229
25110,97996
27650,56520
63970,35705
70247,18917
33285,50194
90838,39675
80085,33575
9248,31743
2881,92850
50202,52216
25203,51691
37635,97212
22241,55164
45741,94862
56855,51976
37021,67523
87986,65435
66645,22219
9772,19421
73895,38592
99086,64389
8113,71531
71721,50105
4047,12589
16071,39504
91038,25573
93063,57004
40830,87780
20097,45252
65891,10038
77422,64195
16845,55900
67179,63269
94216,46779
37236,30195
96647,64822
40909,71205
23551,413
36524,57575
78725,64667
24604,89019
91385,59816
91150,54700
98472,89084
73230,41011
43717,90154
39679,17753
67666,37022
78029,38914
97309,2913
44760,35503
84412,62633
37686,73046
21579,27130
75380,34936
56905,55017
60022,65469
5918,69500
36601,56928
90865,63546
90551,38129
16232,15237
63208,49440
73165,3456
41037,39057
83688,24277
75869,15523
67100,36073
1967,36352
85998,650
20994,4877
17885,93563
3536,36043
13279,30183
20345,9931
46336,58106
97879,87448
80466,28238
40397,40002
20801,23174
6436,96783
60437,98554
4433,88149
