CustomerNo,CompanyCode,DunningArea
67440,60123,CZn
56667,441,viP
27656,76411,cUc
27656,76411,AWV
21286,75480,gQd
21286,75480,BMJ
90200,90722,AvT
85059,19032,xVs
85059,19032,gwi
6832,16956,dDO
23355,30197,ybE
30250,38684,oet
30250,38684,LdB
35757,71408,FkU
53512,39309,beO
53512,39309,DeO
22569,47883,mQM
22569,47883,klR
17755,34443,ssr
17755,34443,BHL
50669,13662,Sdy
78918,266,yUL
37582,69835,ZWR
67484,35124,Xgw
46547,88323,LZJ
46547,88323,gTJ
387,50279,vcu
71535,75064,dVo
16483,52997,Sqg
16483,52997,NlF
3619,56567,EQN
96033,44226,EHU
96033,44226,NRc
78496,11495,TAv
78496,11495,FmR
42608,74706,JhT
42608,74706,UiL
43667,99130,CYt
10924,55556,zJA
1890,77601,Suh
1890,77601,IzX
36179,23516,YEd
73586,63957,fbH
84705,6568,hoy
84705,6568,grM
75759,44185,sJf
62527,80104,PjY
36356,34639,npE
36356,34639,VtE
58606,63572,sRI
42281,14753,fBc
76872,87090,KkK
70097,6622,unc
60025,97125,Jsa
60025,97125,nnR
75986,64678,xdb
75986,64678,gzo
43619,10665,FzV
43619,10665,lHz
27825,60728,GiJ
27825,60728,LuK
91211,54387,rZn
48053,65991,rEq
11589,20244,UVa
31321,45040,NbI
31321,45040,yUY
81649,86181,und
62396,49084,WpE
87711,34267,LFI
87711,34267,lTH
52199,36269,LDx
52199,36269,cJF
5679,96310,KgW
92052,27932,FKV
92052,27932,Ibj
9404,99622,OpA
60709,60034,vwS
60709,60034,VAx
23818,78201,tjB
58914,21388,rjl
58914,21388,kMA
11036,12034,pLq
11036,12034,Slu
79980,15017,mQZ
57487,54511,qnn
57487,54511,yTM
24678,23662,ePW
96093,55202,AOg
96093,55202,DTe
4957,53071,YPZ
4957,53071,EpW
66714,31446,TXf
68364,23389,qaV
62361,20997,cMN
62361,20997,lRl
79444,34635,DNG
79444,34635,Hhg
7396,61517,xoa
2655,96766,qhi
84490,64700,nRK
55332,36760,HvQ
35585,3325,Agd
72467,74979,dYx
72467,74979,eur
66915,24747,mfE
66915,24747,hSc
1728,57794,mcl
63097,16043,CAR
23109,13451,WfV
23109,13451,amk
140,85104,jCS
140,85104,fbb
73800,88737,sFz
90273,9986,tCV
90273,9986,Ezu
63896,12514,OtL
27217,17777,qHN
27217,17777,tMk
58444,44921,BfH
58444,44921,IHU
32136,81095,JGI
32136,81095,kHl
47913,57183,NRP
47913,57183,oKl
50332,43994,TgN
50332,43994,NqF
93978,25908,XiF
93978,25908,Hyf
57468,66318,uMI
64622,63881,IgY
19587,40486,Lpb
19587,40486,DWp
857,20590,QTm
857,20590,Daj
47486,99810,lFi
56858,12738,EkX
56858,12738,lYN
43374,13251,oDg
6090,2303,WsC
98195,28219,yAg
71184,68379,YZQ
71184,68379,uEK
53832,80906,RJZ
53832,80906,XQW
36276,35384,bPu
36276,35384,HzL
34823,55777,ZPE
50656,87237,BAA
40118,72955,lLX
40118,72955,axN
13729,12111,WQs
65979,85807,SXq
48429,26049,DZg
48429,26049,NYc
4795,76737,Wdm
4795,76737,Igc
17813,79825,tGi
14153,88336,yzA
14153,88336,AUm
67376,90887,xQQ
71542,46417,HdJ
18458,27623,Njp
18458,27623,FBA
85879,5870,QZB
85879,5870,IXQ
76944,64352,dFR
76944,64352,Vho
47366,87197,Kjc
47366,87197,SVo
76019,34614,IIL
76019,34614,prD
46249,24434,Wju
46249,24434,TkO
6502,17354,zNG
56735,24593,GVk
56735,24593,BWw
51383,72378,UkY
5321,33051,Xjr
15117,89971,Quw
15117,89971,tmV
94643,74993,AdQ
94643,74993,obx
66912,50534,PMZ
66912,50534,iGA
10090,28248,Zrc
12323,24323,oJA
45680,11195,utc
45680,11195,Hzh
21729,77646,zGe
48580,93658,lkJ
54597,13711,JPv
86640,40322,JjR
86640,40322,wMS
37892,3155,rqH
76536,64964,vOv
46391,9923,yYG
47203,61640,bCe
47203,61640,yQQ
68134,75975,GNZ
99602,21268,fQZ
9826,46454,Yyi
9826,46454,Ord
88681,89009,pmI
91226,23973,IJD
91226,23973,PNo
81158,69935,Yeh
22317,83831,kbn
22317,83831,fmF
95187,96787,xfi
95187,96787,cDq
29402,7973,njQ
20789,98725,BRe
20789,98725,KOL
8936,88308,xZb
71670,69104,Qxr
46630,24902,eiO
46630,24902,Imy
65877,81200,ics
65877,81200,kBd
66327,23821,ZzT
66327,23821,HlE
28552,84720,sIM
28552,84720,HOD
65305,53344,AIQ
65305,53344,tHb
95772,9110,HJD
29265,80229,ROR
61633,86335,rFJ
61633,86335,mso
40142,70127,Hij
60771,51568,bTB
970,70480,VHV
64805,9851,Trx
64805,9851,Ypg
29860,24293,thm
24841,53566,HVi
40601,69050,wGZ
40601,69050,dJU
89317,59535,fCG
43729,11861,IbD
47096,97234,dsO
87576,19119,slf
70680,82068,iEf
70680,82068,Ydd
66619,77137,phF
84065,95920,xek
84065,95920,kPd
61125,62045,znj
61125,62045,sJk
84635,19700,Vld
84635,19700,sdA
15968,12023,FQo
15968,12023,sRs
31322,32979,UiE
20548,73307,oSy
35141,69511,KJh
35141,69511,RrG
