CustomerNo,CompanyCode,FiscalYear
79706,65764,1995
25529,46994,2022
74416,40383,2018
40810,58414,1994
22604,24094,2005
5636,45588,1992
36000,53369,2000
46069,67509,1982
20580,88567,2015
72929,8942,1998
41342,85527,1991
86349,7816,2011
9694,89428,2016
18288,99895,2009
12757,29053,1970
90633,14433,2018
28143,69785,1992
75193,51699,2001
87576,70798,2022
15914,36193,1999
97415,27226,2022
38812,26896,1981
53569,32792,1995
82482,53289,1971
21566,81095,1989
28214,95386,1989
70626,80805,1987
2924,68715,2002
87053,36300,1977
17312,74111,1973
60792,78772,1972
2176,92977,2011
2339,89520,2019
58278,96799,1984
47293,62953,1992
7323,18723,1993
4750,10699,2003
27426,61679,1985
913,58118,2004
54769,28662,2006
50950,86488,2004
45788,48708,1980
81513,25656,1993
29079,83082,2018
96786,45919,2015
284,34391,2009
96769,38661,2006
54578,39940,2021
33903,41561,1984
48395,79336,2003
38627,28744,2006
33275,99699,2001
6789,50464,2004
66633,66186,2016
98284,41997,1994
43541,77080,2001
35858,27293,1994
74769,61474,2004
22372,68475,1990
70107,52065,1992
38536,82210,2013
37438,81170,2011
18051,51520,1976
86772,56729,2004
21663,72607,2013
77079,44065,1989
57920,82080,1990
46069,95958,2012
89192,36474,2016
57414,93369,1989
52422,62693,1992
45125,29584,2016
40251,78016,2003
44497,5944,1996
54818,18753,1993
2881,97327,2020
98644,49312,1998
37021,49021,1980
93771,82009,1971
69588,27754,2010
25150,32804,1999
79953,2520,1994
65808,40546,1982
71113,19302,2005
16996,10575,2013
81411,58341,2010
98167,83698,2014
29354,53906,1978
76881,57887,2024
66559,93479,2024
92001,63823,1971
12572,73522,1989
3546,37715,2013
19893,85054,2018
60423,54951,2023
71408,37605,1997
75384,5258,2007
28236,26595,1986
93641,66909,1976
41668,47863,1976
11719,28908,1975
25645,92866,1970
81522,32096,1985
84036,33914,1976
72929,10948,2014
41320,2085,1983
73053,76344,2011
4892,45964,2006
8286,67099,1979
63670,13085,1971
5869,43329,1986
20538,81578,2024
337,23102,1973
78591,22946,2001
34155,34452,1978
6430,83521,2013
99731,22425,1984
35528,95511,2015
95661,55343,2017
61855,675,2017
4993,67321,1983
86367,26398,2009
8262,95400,2018
5614,98919,2010
69102,20416,2003
46461,1513,2016
4993,31254,1984
60309,82040,2024
37911,3456,1971
45372,396,2016
32937,81890,2021
43213,41025,2015
8342,64893,1996
94199,36532,1970
26951,66447,2002
64047,39025,1978
90960,94131,1971
58133,46904,2007
92544,8558,2021
61773,52809,2021
35228,30012,1973
94153,36817,1979
36753,8641,2014
93093,1055,1990
95912,12263,1981
51616,83848,1977
37639,58725,1975
72200,40279,2005
7717,15637,1980
35241,4503,1974
32201,35615,1986
60654,31830,1982
94922,35117,1972
90579,18409,2013
18215,9258,2001
7819,64625,1970
80030,19052,1981
78416,42882,1991
63456,89138,1982
78082,66809,2008
59104,57803,1983
65297,93631,1982
47197,94277,1985
62595,90729,1973
92208,59103,2021
97807,8053,2015
48877,39187,1990
20344,19469,1991
62850,14679,1986
68002,1724,2018
13450,35384,2015
21489,70652,2011
51687,52869,1990
45433,70985,2022
69312,15655,1985
2392,88646,1984
43596,68570,1988
82863,51553,2023
83529,68773,1974
84448,30758,1977
53257,57899,2019
13140,27452,2014
5240,48347,1975
40168,89706,1988
66028,37565,1984
50930,48572,2000
1701,64939,2009
63539,35713,1989
2392,87823,2010
83936,97872,2015
70626,31627,1981
62447,50753,1999
57742,6497,2012
4864,27555,1984
64368,50753,1992
99225,95920,2004
94791,97365,1995
49403,56793,1987
30247,76403,2008
29977,83846,1989
47011,51074,1982
6951,4220,1981
37916,40050,2002
87217,10774,2003
33480,52872,2017
50950,68728,1987
29541,62621,1996
57108,33634,2003
58129,88254,1989
41343,83621,2019
90140,5846,2002
17676,44161,1997
76083,71680,1983
51728,9868,1981
16053,56024,2006
8538,90481,1982
70680,68984,2014
52249,7379,1975
98429,44264,1981
