CustomerNo,SalesOrg,DistributionCh,Division,OutputType,MessLanguage
67440,9068,3560,7877,rKpAx,ZVRKx
67440,9068,3560,7877,XxdbC,eNQvy
56667,5196,3582,3401,haeKz,BJrWn
56667,5196,3582,3401,LShsx,meeyY
56667,5196,3582,3401,SjQgX,UVZAn
27656,7910,9514,9926,EDHpa,XRawQ
21286,2680,9571,7736,GQHYM,Ovryb
90200,3064,9962,7587,MCzyh,zAFWv
90200,3064,9962,7587,SotaS,AQGub
85059,2433,8963,6135,syGJk,qKJLs
85059,2433,8963,6135,dSmyC,xxFWs
6832,9498,3438,7893,DJBwg,mhqbK
6832,9498,3438,7893,EamIV,yclao
23355,9146,4174,7482,hXIRF,iIOtY
30250,4866,7030,8770,NDEtK,RBXfF
30250,4866,7030,8770,ttdKh,WOcIt
35757,3768,8907,3254,nGQDt,PcCSd
35757,3768,8907,3254,yqcrx,QnZuJ
35757,3768,8907,3254,eCZYZ,gqUAk
53512,5855,9556,7371,auBal,xNRCQ
22569,555,5660,8862,ayKIM,JRpFR
22569,555,5660,8862,BILmZ,KZlDQ
17755,4228,2773,3426,mpUNi,fXgxw
50669,4769,7269,9724,NRZrX,NxHZE
50669,4769,7269,9724,JEcna,ADSvN
50669,4769,7269,9724,Vxsqo,aAphR
78918,6488,1975,9134,vfLaQ,CUIWh
78918,6488,1975,9134,MOzGi,CWPeZ
78918,6488,1975,9134,RVZwu,TFhHO
37582,6363,7935,4982,fFQLR,Booib
37582,6363,7935,4982,EuJeR,tnuxe
37582,6363,7935,4982,DuyWt,RnMuN
67484,7647,5237,6545,eabNR,aEXnp
67484,7647,5237,6545,zazSP,ZxyZY
67484,7647,5237,6545,wcegV,pGtvM
46547,8692,6543,7590,SmFdy,LyFVT
46547,8692,6543,7590,WswSt,hOyqU
46547,8692,6543,7590,tAwYT,IhmHo
387,2795,3896,1670,EHBPb,lSpEW
71535,5870,9577,9771,YzNjB,NgNNw
71535,5870,9577,9771,iaELO,UZMuZ
71535,5870,9577,9771,XFovU,cWZHZ
16483,8498,8381,5481,kRqIi,yuVDt
16483,8498,8381,5481,KnTSn,IxeAz
3619,7296,1125,9930,wNdTO,ekXLh
3619,7296,1125,9930,hqFDX,qWtUk
3619,7296,1125,9930,MZKpF,BOSbP
96033,4062,4343,227,clSUT,eBBpK
96033,4062,4343,227,lIPOu,IrKEb
96033,4062,4343,227,AEoFM,nmVkV
78496,3234,1366,1957,ipChH,CAhub
78496,3234,1366,1957,DZymd,jGcJD
42608,921,2789,3685,dPKVf,OLxeL
42608,921,2789,3685,IiBeW,qvjyn
43667,9267,269,7108,HGgCL,CCZqv
43667,9267,269,7108,DXnQf,jeGaI
43667,9267,269,7108,Rmogd,bRTuR
10924,8243,8420,1140,djYqb,AmEit
10924,8243,8420,1140,EpzfM,pmLEC
1890,1787,3957,5194,NCItv,pwQeB
1890,1787,3957,5194,vDdwC,bHyBE
36179,2449,145,6930,wZHrc,OcPms
73586,9298,3254,9735,JQtBn,tYIXk
73586,9298,3254,9735,fLNsW,aYJSl
84705,8987,4705,1088,Nxhpp,kIRjJ
75759,2754,1090,1515,DhjAU,MHyKJ
62527,1034,1351,4649,GfdwN,RFZVP
36356,2222,5813,4178,BQlGO,rSZWX
58606,4444,5408,4922,jpvzZ,NWNdL
42281,9917,8033,8835,qYmOy,MRocU
42281,9917,8033,8835,vnCGX,gRPyg
42281,9917,8033,8835,qhheI,jcQKe
76872,9089,2910,1781,MoZiS,leIWO
76872,9089,2910,1781,ALQkG,EwMla
76872,9089,2910,1781,dHnWC,okDzC
70097,7864,3861,9133,OGjmP,zDoHz
70097,7864,3861,9133,qpDAJ,mLgdP
60025,2358,3057,6579,dfTpS,DCHNO
60025,2358,3057,6579,UyATT,SqBRa
75986,9325,8554,3967,IHrwg,DGPuw
75986,9325,8554,3967,rCowr,bsvBW
75986,9325,8554,3967,baqOR,zHIJb
43619,7807,5406,5195,XNnDJ,WTCuI
43619,7807,5406,5195,xVtTj,fLtor
27825,8008,761,3626,oCvIb,QYvan
91211,2923,1120,4691,IOiHh,HvPlW
91211,2923,1120,4691,TxlsM,AoXhf
48053,1007,4800,6957,buKri,ZUGMw
48053,1007,4800,6957,xxLZz,xppQv
48053,1007,4800,6957,yHinI,JNXaQ
11589,1435,5158,3045,lqZBK,bZnFY
11589,1435,5158,3045,gxtMO,MFBRJ
31321,5144,7868,943,cMivz,uuEkY
31321,5144,7868,943,DGXQE,IgZau
81649,6347,5513,3226,mDuDx,BEHMX
62396,4835,563,749,MZiiO,sBkUn
62396,4835,563,749,icwFI,aMnNU
87711,6995,6345,9840,kOcmc,bTNXK
52199,8776,7543,2432,wpoNS,HgKKL
5679,6893,6869,3201,NVIDi,HAfDV
5679,6893,6869,3201,SwxLB,MfcIC
92052,8771,8578,1495,qjRhu,KrOxu
9404,4046,9390,9010,coyjc,mWSMV
9404,4046,9390,9010,vdJAj,vBLcM
60709,415,9457,445,GsxYq,simKW
60709,415,9457,445,GYYdE,StKgR
60709,415,9457,445,dbfZx,mgcDs
23818,8000,4435,6367,hcFaw,bmuHN
23818,8000,4435,6367,spoBT,iWkBD
23818,8000,4435,6367,xfhdT,ZbeId
58914,9891,7256,2679,qhNOH,qETfQ
11036,7203,7765,9784,FKksu,HHnzg
