CustomerNo,SalesOrg,DistributionCh,Division,PartnerFunction,PartnerCounter
67440,9068,3560,7877,xWlhT,6918
67440,9068,3560,7877,cxjPL,854
67440,9068,3560,7877,biOda,1589
56667,5196,3582,3401,Oyblf,7514
56667,5196,3582,3401,tviUV,734
56667,5196,3582,3401,mByru,8421
27656,7910,9514,9926,cxCoN,5760
27656,7910,9514,9926,vawfM,4611
21286,2680,9571,7736,Cmytq,414
21286,2680,9571,7736,PezBE,9914
21286,2680,9571,7736,csgNO,1191
90200,3064,9962,7587,lwEXD,4410
85059,2433,8963,6135,zmKfk,9185
85059,2433,8963,6135,KOnDN,8066
6832,9498,3438,7893,VUxbP,3944
6832,9498,3438,7893,WyYfM,7375
6832,9498,3438,7893,wmxNj,5734
23355,9146,4174,7482,wKFRq,2186
30250,4866,7030,8770,HlzDx,4585
30250,4866,7030,8770,DBQrC,5754
30250,4866,7030,8770,gwkDO,7163
35757,3768,8907,3254,fYnhI,3089
53512,5855,9556,7371,BLwXS,6736
22569,555,5660,8862,TIwgM,7944
17755,4228,2773,3426,jvrXv,7885
50669,4769,7269,9724,dkmGF,4328
50669,4769,7269,9724,tYTIX,1083
78918,6488,1975,9134,DJzoC,2166
78918,6488,1975,9134,wCwEo,4442
37582,6363,7935,4982,JEEQC,1162
37582,6363,7935,4982,FQjdb,928
67484,7647,5237,6545,SkGDR,6010
67484,7647,5237,6545,cuDie,594
46547,8692,6543,7590,HhrMk,8456
387,2795,3896,1670,wlNUn,8421
387,2795,3896,1670,ZTBTd,3670
387,2795,3896,1670,cuYtj,4557
71535,5870,9577,9771,ihSau,4782
71535,5870,9577,9771,FZymf,206
71535,5870,9577,9771,ziyXo,5433
16483,8498,8381,5481,Rjlsd,9259
16483,8498,8381,5481,KteXf,4245
16483,8498,8381,5481,qHEGT,3798
3619,7296,1125,9930,XraMG,1619
96033,4062,4343,227,GwfwV,6110
96033,4062,4343,227,BntfD,7692
96033,4062,4343,227,ZcqyA,2266
78496,3234,1366,1957,qfxWY,2728
42608,921,2789,3685,ztKIb,9940
42608,921,2789,3685,DiNyO,8995
43667,9267,269,7108,qKCFc,8004
43667,9267,269,7108,NGnDn,3818
10924,8243,8420,1140,HKnWz,9634
10924,8243,8420,1140,wfkeq,6637
10924,8243,8420,1140,kuLRH,7253
1890,1787,3957,5194,GWMWt,8699
1890,1787,3957,5194,KCVlC,1975
36179,2449,145,6930,cdZqh,7645
73586,9298,3254,9735,ryTAi,6682
84705,8987,4705,1088,xJsDJ,6302
84705,8987,4705,1088,EOEPY,8241
75759,2754,1090,1515,ELjiI,1789
75759,2754,1090,1515,kgpoc,8546
62527,1034,1351,4649,UKiam,897
62527,1034,1351,4649,TeovZ,2841
36356,2222,5813,4178,jLlCE,9426
36356,2222,5813,4178,DNtkG,4884
58606,4444,5408,4922,SeCgc,8287
42281,9917,8033,8835,oqMOq,7270
76872,9089,2910,1781,RBbMZ,6269
76872,9089,2910,1781,bPSrc,8586
76872,9089,2910,1781,zZJBo,2429
70097,7864,3861,9133,qxypD,7487
70097,7864,3861,9133,EnrXl,2999
70097,7864,3861,9133,AAGOh,3776
60025,2358,3057,6579,pvrgn,3591
60025,2358,3057,6579,cNfFB,7168
75986,9325,8554,3967,kffhV,8220
75986,9325,8554,3967,GESTu,1953
43619,7807,5406,5195,HZiAb,8627
43619,7807,5406,5195,lzbIC,493
43619,7807,5406,5195,gpBcA,2016
27825,8008,761,3626,xhOBK,2550
27825,8008,761,3626,zvQNS,9839
27825,8008,761,3626,repqc,6566
91211,2923,1120,4691,tHXQs,5597
91211,2923,1120,4691,zImDR,7169
91211,2923,1120,4691,aMFuM,5649
48053,1007,4800,6957,Ghiox,3726
48053,1007,4800,6957,EeepX,6663
48053,1007,4800,6957,DYEmR,4064
11589,1435,5158,3045,GeyjI,8481
11589,1435,5158,3045,tmsva,1230
31321,5144,7868,943,AssjS,1974
31321,5144,7868,943,QGbSz,5839
81649,6347,5513,3226,dxQdO,6779
81649,6347,5513,3226,AHbDJ,3240
62396,4835,563,749,RPnih,9819
62396,4835,563,749,EveXV,9006
87711,6995,6345,9840,nypet,932
87711,6995,6345,9840,jtxZt,9931
52199,8776,7543,2432,wyPeP,6621
5679,6893,6869,3201,tEVOe,2342
92052,8771,8578,1495,ndNNF,2609
9404,4046,9390,9010,jsldp,3283
9404,4046,9390,9010,APDkm,3700
