CustomerNo,SalesOrg,DistributionCh,Division
67440,9068,3560,7877
56667,5196,3582,3401
27656,7910,9514,9926
21286,2680,9571,7736
90200,3064,9962,7587
85059,2433,8963,6135
6832,9498,3438,7893
23355,9146,4174,7482
30250,4866,7030,8770
35757,3768,8907,3254
53512,5855,9556,7371
22569,555,5660,8862
17755,4228,2773,3426
50669,4769,7269,9724
78918,6488,1975,9134
37582,6363,7935,4982
67484,7647,5237,6545
46547,8692,6543,7590
387,2795,3896,1670
71535,5870,9577,9771
16483,8498,8381,5481
3619,7296,1125,9930
96033,4062,4343,227
78496,3234,1366,1957
42608,921,2789,3685
43667,9267,269,7108
10924,8243,8420,1140
1890,1787,3957,5194
36179,2449,145,6930
73586,9298,3254,9735
84705,8987,4705,1088
75759,2754,1090,1515
62527,1034,1351,4649
36356,2222,5813,4178
58606,4444,5408,4922
42281,9917,8033,8835
76872,9089,2910,1781
70097,7864,3861,9133
60025,2358,3057,6579
75986,9325,8554,3967
43619,7807,5406,5195
27825,8008,761,3626
91211,2923,1120,4691
48053,1007,4800,6957
11589,1435,5158,3045
31321,5144,7868,943
81649,6347,5513,3226
62396,4835,563,749
87711,6995,6345,9840
52199,8776,7543,2432
5679,6893,6869,3201
92052,8771,8578,1495
9404,4046,9390,9010
60709,415,9457,445
23818,8000,4435,6367
58914,9891,7256,2679
11036,7203,7765,9784
79980,6804,5896,2913
57487,6063,1141,4888
24678,1424,2371,2036
96093,6282,3736,3396
4957,483,9665,914
66714,3867,9529,9772
68364,9766,3022,289
62361,9393,5455,1782
79444,3911,2055,6048
7396,7527,7266,4585
2655,7012,5014,1819
84490,5047,7397,3322
55332,5533,7704,2982
35585,2507,7450,4637
72467,8332,6051,6359
66915,5366,2909,5018
1728,3739,3267,3198
63097,2199,6313,3397
23109,8948,395,7963
140,6746,4068,2550
73800,3354,2445,4763
90273,3949,7954,4615
63896,6574,5471,8958
27217,6905,5275,7527
58444,9597,2748,8246
32136,8063,6839,9714
47913,3267,8541,5433
50332,6305,4710,8593
93978,8730,775,9713
57468,8674,3002,2627
64622,2547,4600,2877
19587,2815,746,199
857,2320,6197,8850
47486,9650,6709,1032
56858,7470,2983,4003
43374,1972,9589,829
6090,164,5286,5753
98195,4668,7220,1911
71184,5284,4483,1674
53832,9790,6753,2263
36276,6375,9916,5717
34823,1518,3900,2223
50656,266,6139,9605
40118,2990,2066,496
13729,7619,9270,3292
65979,7117,5361,8662
48429,3245,3924,1107
4795,541,4173,4658
17813,915,58,5192
14153,5879,90,8182
67376,1631,1348,1384
71542,9284,7574,5860
18458,6186,8669,2533
85879,2946,3817,2946
76944,9314,8496,7242
47366,4024,5991,6843
76019,7300,7332,3503
46249,560,1505,8517
6502,3378,3271,268
56735,8928,9907,8421
51383,2554,8534,6823
5321,8634,752,590
15117,5062,1207,7884
94643,7601,7904,8420
66912,8526,4451,885
10090,3297,3053,6118
12323,3913,3121,6337
45680,4631,1676,6201
21729,6702,9592,6566
48580,5675,6315,4550
54597,2702,1314,5342
86640,377,9331,3644
37892,354,3065,3919
76536,348,7682,8778
46391,2282,258,8812
47203,2307,9443,8448
68134,6375,4642,4964
99602,141,6625,9309
9826,8131,1495,4020
88681,6435,9907,6358
91226,7702,6361,823
81158,3873,7343,6855
22317,4598,3529,3054
95187,6633,575,4074
29402,1030,6166,5006
20789,2075,30,3952
8936,3143,5457,1875
71670,9759,681,4443
46630,5560,3754,8811
65877,9528,8237,8843
66327,7263,7036,158
28552,3460,6539,7310
65305,5046,2184,4536
95772,6272,4992,2722
29265,3159,4481,7743
61633,9792,1789,689
40142,6698,7903,3447
60771,6527,5533,5935
970,6379,731,4412
64805,7717,7777,1952
29860,3599,659,4240
24841,1590,5640,797
40601,3859,8005,652
89317,5360,3859,9789
43729,4420,197,652
47096,9449,4556,3238
87576,4239,2427,9167
70680,5089,9253,1731
66619,3943,6096,2020
84065,2001,4033,6369
61125,4668,5136,6942
84635,7252,9317,6350
15968,463,6990,9661
31322,3163,1991,7174
20548,1630,1705,4690
35141,1060,2506,6414
31018,8718,9562,6391
59219,3384,615,7791
73495,3450,213,8285
60667,5575,5496,5697
62169,6520,6426,2863
14882,7845,766,4475
72109,627,9678,4741
27682,6770,4499,966
69514,4679,6216,978
87730,9752,4859,6693
325,716,2384,7172
63800,6043,1295,9648
17016,7838,9613,8409
2082,5671,7012,4244
78635,5293,2895,6694
22174,6405,5865,4445
60203,4346,9972,3219
49945,7102,831,6839
85631,9237,3872,8811
65909,8517,3936,3184
89842,6722,5596,3919
50257,2926,8725,6926
89733,9858,841,876
71110,7498,8869,8838
38778,1701,2211,1486
61079,6604,4477,4302
11207,8490,5456,9611
399,6785,9716,2200
62465,5819,4983,1933
13747,5569,8489,5257
53120,9212,1845,8830
92162,557,7344,3182
90922,7024,3487,422
19548,2675,208,7726
218,193,5422,8780
47433,5519,5171,5199
10047,4387,271,6805
4643,368,3344,2749
934,9404,5552,1245
57324,3010,6245,7325
18005,7749,575,3790
15322,9405,3319,8214
60999,5402,6495,7550
14896,713,8157,3897
81441,5158,9907,5200
58977,3791,7649,6867
10725,5013,5756,5449
79368,8963,3597,8106
17197,7261,3487,5117
38192,6886,5157,8712
51693,4105,8900,9923
34039,4816,5773,4874
9334,131,3678,1921
23833,6005,9078,5422
11602,4213,9683,9996
71988,9521,5244,3538
71598,2293,6420,4632
59889,4535,7140,5634
31672,3427,3731,7966
73543,98,2930,1385
97899,4157,4919,7987
72904,3507,5010,40
81513,5516,8730,5398
44164,6427,1986,2137
59907,5733,7226,8478
69424,1757,2889,6429
50061,9412,7342,4596
96218,7125,1569,4263
65069,494,5826,668
45908,8294,2670,5199
36138,6792,798,7963
7406,8091,1140,4888
15432,781,5851,5266
75935,4156,9703,369
17653,4823,9388,6334
1555,5240,5923,4322
24504,4889,6371,7187
62458,2072,133,628
67828,9554,4017,2938
84719,3505,473,2871
81067,5702,2507,7351
60797,4229,669,6507
5869,4566,7970,1169
13794,3550,2506,5616
64723,6404,7323,1933
30897,369,7446,6099
32462,2456,37,9043
35441,1324,5220,9577
16185,7580,1121,5206
24969,1796,1759,974
27228,1356,3055,4216
57250,596,1224,2496
76575,8403,7864,3068
85147,6322,1411,3649
31197,3997,3880,9444
4713,2096,9891,9684
50797,8225,6428,5567
2416,7875,5706,1889
68761,4037,2491,5941
15557,8694,7029,5220
56843,2607,5210,4873
30025,9358,7629,1258
82336,4223,5111,4577
72727,559,1315,8450
76913,5964,3872,8115
46280,3445,521,6242
6820,8409,7752,5911
52082,492,1442,4805
29298,2351,8563,5535
52039,8336,5997,4233
34296,849,7356,7161
87248,8126,5974,9569
16288,3768,771,6310
33933,2216,9525,1585
16420,1775,204,2320
337,7994,7259,5800
55183,2591,4057,7398
16049,2032,1935,5457
76532,7982,5373,3299
91510,1328,7311,8235
92575,2414,8142,6633
49184,2069,9603,3733
61642,4430,7360,8355
56908,8577,3124,361
24388,3709,8517,2124
50687,8976,6578,1674
73609,677,7523,1174
55896,7539,534,5731
31245,5403,2398,7544
63955,5934,6891,6873
80494,7501,2596,1316
89996,9553,348,4660
91349,4819,8057,4383
6360,9520,5492,4658
50913,8690,1043,6923
78879,5731,7711,8401
41213,4765,5119,887
41989,4181,2404,4128
95287,8132,177,5008
94942,9962,468,8186
48996,4408,9669,9564
56252,5475,6204,5476
57438,4996,586,8775
95032,8141,4557,1953
78537,175,7367,9500
70720,2025,5292,884
54358,752,3717,6054
48060,5180,5388,7784
12486,6872,819,3500
59560,5362,4784,7840
53091,2472,6222,38
56506,5262,1660,6668
36570,3341,6767,9357
50904,277,1671,3152
74636,2296,6345,1345
87011,9572,4883,489
23233,6680,866,1380
85086,6985,3968,672
27451,6937,1374,1376
26415,6927,5490,7417
4753,4044,8794,9944
24149,2503,1323,3552
75189,4794,1881,7310
88125,9679,3671,2610
99100,7438,5163,4293
5080,7324,6704,7992
51006,7972,2789,8547
74534,9080,511,8787
99716,8361,7851,7774
86667,5171,3329,6011
39562,6039,4754,9518
42971,9873,3669,7348
11533,7645,4886,1546
35553,130,3024,9110
87364,3154,8327,4670
52391,9203,8086,582
40251,9518,2955,379
18213,3170,4330,5779
86278,2623,5505,5901
23125,5414,5238,9278
33984,3512,5549,637
40708,7952,5846,8294
5673,2205,2003,889
68263,8440,348,118
64500,3258,228,5369
63306,9300,3049,2964
52714,381,9603,4245
98433,733,66,6644
1710,8438,5350,2932
75293,2118,2593,8539
95582,1444,4659,3435
98880,8288,6486,2534
65547,1371,504,2974
30379,3072,6301,5577
75288,4175,8980,9021
98548,5346,5113,7586
65509,7126,5241,4104
41867,7072,5591,166
31929,9735,9718,2325
57490,6179,4038,8218
91316,741,2508,9797
68150,9034,3526,1107
49824,4041,247,2504
41977,6594,8956,9304
66174,5169,6422,9911
70300,678,6758,3566
16463,4514,1776,9170
20234,7871,4774,5719
71170,2642,9807,8828
62345,7281,3561,3464
59583,9223,9309,9786
85734,2901,7654,6333
89582,684,2633,4947
81346,3303,8379,5088
61662,6195,8346,8552
77834,7603,1122,9276
20949,8074,564,7982
92455,5252,3748,8629
91084,4331,99,6407
80164,3725,2320,2506
32975,384,280,7219
63259,1700,104,1274
94800,701,653,1623
8795,1563,7794,3040
14188,4131,5762,8171
85843,6317,4197,2286
3901,5002,668,6501
89061,1905,5187,1220
95451,142,7192,2065
16563,1216,3746,626
82206,701,7827,308
57536,1425,978,923
94956,6201,4458,6933
99345,2832,3459,361
74050,5461,1828,4789
34472,1492,3747,5464
99266,9986,7340,8905
46817,8545,349,4841
90761,1545,412,2174
58883,4349,9217,3795
70731,5480,9713,2908
53323,143,3781,3002
58389,6224,288,4209
95365,2863,5804,8119
80526,6830,3291,2902
66277,4862,6392,5066
16707,5660,2419,4775
40980,6991,8993,2434
4810,6457,938,3256
38264,4320,6967,8272
98284,4937,4104,6666
82500,2489,1974,2894
48531,8570,2906,2196
84434,5978,8657,286
9269,8171,9338,5634
23571,2606,5967,2304
64197,13,9014,1879
80051,5550,7796,5545
4235,2653,5479,370
97457,9447,1330,2145
