VendorNo,CompanyCode
58970,60123
37233,441
99760,76411
74104,75480
11114,90722
45806,19032
54211,16956
47677,30197
74158,38684
73628,71408
22671,39309
88139,47883
32376,34443
51684,13662
56892,266
34529,69835
78302,35124
33958,88323
67092,50279
42847,75064
46825,52997
28562,56567
9583,44226
25280,11495
80136,74706
10416,99130
14954,55556
98284,77601
8690,23516
60459,63957
17823,6568
34295,44185
19951,80104
88596,34639
1576,63572
93191,14753
58058,87090
3769,6622
94280,97125
52754,64678
98369,10665
37772,60728
48079,54387
26060,65991
15645,20244
41423,45040
55920,86181
34900,49084
2085,34267
9165,36269
52709,96310
5000,27932
15187,99622
82846,60034
81980,78201
808,21388
48473,12034
73766,15017
6357,54511
18015,23662
66406,55202
2097,53071
70074,31446
82790,23389
63691,20997
71717,34635
43842,61517
56469,96766
99604,64700
20051,36760
12460,3325
69658,74979
1467,24747
21137,57794
68819,16043
80857,13451
54254,85104
85064,88737
29395,9986
64937,12514
5680,17777
80089,44921
9687,81095
24387,57183
41463,43994
11626,25908
45585,66318
35724,63881
18699,40486
41599,20590
74697,99810
77808,12738
6182,13251
89982,2303
33889,28219
15147,68379
29018,80906
23538,35384
80828,55777
22833,87237
55864,72955
9887,12111
8061,85807
9816,26049
39325,76737
9893,79825
14782,88336
87536,90887
55906,46417
55602,27623
19472,5870
2518,64352
50516,87197
41020,34614
586,24434
77454,17354
24262,24593
69963,72378
59569,33051
4421,89971
14405,74993
92717,50534
4729,28248
27371,24323
46585,11195
84345,77646
51452,93658
91942,13711
77337,40322
79526,3155
11723,64964
64071,9923
96333,61640
56690,75975
43214,21268
8608,46454
9265,89009
44665,23973
42830,69935
68642,83831
93049,96787
49602,7973
91632,98725
83968,88308
64005,69104
30171,24902
85308,81200
186,23821
91628,84720
46097,53344
73946,9110
10112,80229
92769,86335
2677,70127
22526,51568
48503,70480
32976,9851
92205,24293
94424,53566
18099,69050
25946,59535
85497,11861
50890,97234
39182,19119
95112,82068
24543,77137
45799,95920
8197,62045
27639,19700
23339,12023
4629,32979
80485,73307
62989,69511
49590,55517
53087,90346
9116,48384
76979,87244
85054,84177
16066,52103
34262,8706
9366,86052
50380,58913
89402,64845
87307,89616
3115,19528
80633,26739
15888,22809
65101,1137
94621,11191
35678,3974
92468,35464
22543,29867
57760,57832
76917,81320
40786,40368
81535,39905
27777,21226
96673,61084
90756,12289
72689,88249
87672,11930
7490,55145
67743,3067
17422,39685
74956,53871
24898,43021
88335,98507
51026,30873
84887,17751
88284,41157
42453,76361
98752,50950
66917,99502
57127,8542
43666,43773
73770,59655
50189,72843
69178,35827
65286,55595
52357,75009
45020,17960
69468,22855
95826,72259
79539,58419
60857,81389
31613,88878
67967,60529
22142,70589
21225,8054
69499,67482
8734,63498
23731,91970
11960,22583
22529,66781
17509,26303
16030,76131
84340,75299
65990,80625
10556,14976
2869,35712
19815,56199
83371,51382
22986,5125
64329,79351
35307,72554
67353,89275
37964,62354
83367,77187
33535,96511
88693,38060
98253,31723
75918,12086
72388,30378
85451,26032
39443,61862
77975,93734
26669,6126
11722,66362
54195,71415
10690,82338
45810,23645
45902,46565
31981,40296
72654,59769
11560,56943
3879,77412
5743,71488
80436,62330
6052,1397
45557,97836
86807,49776
25173,41765
32801,91323
5514,62082
2700,84637
19021,96816
79175,16141
94860,79060
6863,75098
63192,74944
25675,83943
45584,88100
50934,76045
14112,67172
3225,55911
20695,95805
51447,96895
37089,11883
5074,13063
44571,80221
94407,1230
42562,183
36290,1600
18691,52966
58817,92118
72802,15897
89114,93128
23197,49641
37280,28509
97655,72037
52394,52149
41134,50694
90075,6113
27778,54659
58582,18361
93047,25248
33878,51423
88114,32792
39696,49368
86992,70635
459,81701
1629,32332
14803,67961
13388,52510
1028,1304
27151,14700
72681,63004
55653,87124
33863,69401
84866,64135
92803,77287
38234,90305
53748,57267
81234,29489
44309,92652
89194,63283
27997,28373
55503,10953
29771,46498
85248,2664
11355,27639
36721,35888
22221,28335
10795,4106
77410,31343
39836,31633
70856,36020
31040,2269
26087,83067
67136,93048
2419,35038
92126,27898
91227,63267
99423,82612
47773,23979
14741,28701
41606,16423
38994,24700
66466,70398
23690,30882
12062,68289
44546,23609
71766,32233
16761,57498
90262,98602
81448,38145
2366,12156
61814,48934
38221,73753
26300,94330
36311,10570
22357,17278
87317,13117
43194,13786
29469,26898
66950,78358
33931,14409
55875,27916
49749,81322
10609,91777
69206,22057
71798,13417
52683,26163
89996,95636
7310,47553
82610,75828
68289,18571
51833,90927
83536,31789
41208,38800
19063,6763
71540,94167
68762,59554
51960,68838
86740,99040
68782,19765
29213,15618
52283,62924
21587,1940
89891,9431
94790,69150
59963,85257
91331,70181
15176,20
44615,65158
36937,88644
64977,40546
80203,2420
2202,8478
72789,57399
30273,61326
27805,18919
60628,88588
57964,63685
99393,60860
41771,5575
59454,32950
47695,86778
22539,47892
2634,95386
87115,81908
64126,99057
54219,92461
80780,53410
93034,75425
42695,22255
9573,44470
65796,10147
68476,20870
36022,44387
6679,16313
8692,37901
84004,92517
72977,25272
24444,49436
85853,78317
56713,11759
83713,31007
15983,59625
40558,17917
74222,82431
75206,48708
97353,50166
21542,96968
41451,74593
88607,5519
58498,22304
13258,33812
66316,27996
86172,18551
32430,83690
73072,24847
62510,1055
32023,88326
82120,45345
1944,9380
69092,41462
52437,53697
87348,89410
15118,92738
64449,55654
98465,74608
90677,21924
30605,10087
73676,40550
74096,8716
96298,22124
69498,5062
41321,10853
68324,49536
12785,8305
60953,95659
95361,76081
53815,55686
77943,47451
72695,69968
60391,64020
55952,97195
87246,44841
67655,6990
19755,51092
95473,15917
