VendorNo,CompanyCode,DunningArea
58970,60123,ZXA
58970,60123,PMH
37233,441,kdQ
99760,76411,vXA
99760,76411,Fam
74104,75480,aiT
74104,75480,WNq
11114,90722,QZC
11114,90722,CES
45806,19032,uMX
45806,19032,lpe
54211,16956,Gjy
54211,16956,Zgr
47677,30197,MtK
47677,30197,aRC
74158,38684,saW
73628,71408,bKq
73628,71408,vqv
22671,39309,JgC
22671,39309,Msv
88139,47883,wNG
88139,47883,ibs
32376,34443,IxG
32376,34443,ikn
51684,13662,WZe
51684,13662,ulU
56892,266,wNf
56892,266,eey
34529,69835,oSZ
34529,69835,JUj
78302,35124,xwZ
78302,35124,PDq
33958,88323,MlY
33958,88323,Xko
67092,50279,ibz
42847,75064,CLt
46825,52997,hUm
46825,52997,aEZ
28562,56567,vcU
9583,44226,Kpp
9583,44226,Fah
25280,11495,rwV
80136,74706,oDL
10416,99130,eUM
14954,55556,seO
14954,55556,jRt
98284,77601,jAv
8690,23516,OHm
60459,63957,OQR
60459,63957,UaD
17823,6568,CVn
34295,44185,Qra
34295,44185,XGp
19951,80104,gmw
88596,34639,QXZ
88596,34639,kjK
1576,63572,Roe
1576,63572,NeS
93191,14753,VwF
93191,14753,KgA
58058,87090,nJm
3769,6622,fcM
3769,6622,nKr
94280,97125,uMa
94280,97125,jMc
52754,64678,UGF
98369,10665,HVW
98369,10665,OEl
37772,60728,jbZ
37772,60728,KQo
48079,54387,zGS
48079,54387,kkH
26060,65991,Ucg
15645,20244,SCJ
41423,45040,kIE
55920,86181,XsE
34900,49084,Aqg
2085,34267,qLT
2085,34267,Fhv
9165,36269,Mzw
9165,36269,Shg
52709,96310,jcF
52709,96310,Tmo
5000,27932,qXI
15187,99622,Wum
82846,60034,kUM
82846,60034,YmM
81980,78201,CkZ
808,21388,WNt
48473,12034,Sqr
48473,12034,NbL
73766,15017,SHM
73766,15017,fYx
6357,54511,gcN
6357,54511,SfM
18015,23662,FhQ
66406,55202,HYv
66406,55202,iIh
2097,53071,myy
2097,53071,HSK
70074,31446,JlS
82790,23389,LSo
63691,20997,akv
63691,20997,MxX
71717,34635,ebT
43842,61517,CeK
43842,61517,LrI
56469,96766,uDy
99604,64700,Txu
99604,64700,YUv
20051,36760,RGA
12460,3325,mWW
69658,74979,BVt
1467,24747,cWQ
1467,24747,BLM
21137,57794,OCV
68819,16043,LVM
68819,16043,gdm
80857,13451,XBT
80857,13451,xzS
54254,85104,qLM
54254,85104,Ucm
85064,88737,eIb
29395,9986,kXJ
64937,12514,nhX
64937,12514,Mmy
5680,17777,LYt
5680,17777,bfd
80089,44921,DLq
80089,44921,EWs
9687,81095,mcN
24387,57183,dMl
41463,43994,pcw
41463,43994,gEp
11626,25908,Cqy
45585,66318,WbV
45585,66318,ZuE
35724,63881,TaI
18699,40486,WPc
41599,20590,lfR
