VendorNo,CompanyCode,FiscalYear
85774,93271,1997
46114,43116,2006
1629,94471,1993
73417,91064,2010
7574,60411,1971
7768,78848,2004
75344,72397,1997
82046,77213,2005
64232,50667,1990
38671,69580,1986
83738,22136,1987
96910,36404,2018
67198,87323,2001
21506,90898,1984
23292,64412,2006
13139,6150,1990
79819,60748,1991
55445,15536,2004
12101,69732,2011
49747,30973,2022
4836,18981,1970
44897,60442,1972
72795,17993,1987
53753,62542,2020
70025,21493,1986
70349,50423,1984
36602,14208,1994
49491,29156,1971
38737,30183,2011
2916,37156,1973
70630,26303,2023
24229,12693,1999
41206,12671,1982
88248,4890,2005
82454,73395,1977
52476,62212,1993
27314,98987,1997
10008,3554,1987
26844,34358,1976
20976,45566,1985
44025,28422,2004
92279,25391,1986
94027,26635,1997
31145,33568,1988
88541,11551,2008
32081,59390,2020
10231,83706,2013
56861,90752,1975
19815,47663,2013
71610,81616,2023
96769,79132,1994
44225,53410,1976
55763,87283,2016
33901,43363,2003
97897,89778,2024
87246,93539,1989
51592,90724,1990
34397,43039,1974
49131,74880,2015
15867,41787,1981
94565,9122,2007
98461,17342,1989
72974,92430,2003
58447,38268,1994
10333,29132,2004
70557,26320,1977
5234,14554,1989
3899,12236,1996
84547,92497,2005
27389,60710,2008
7802,59982,1999
58793,81178,1997
24967,22657,1978
78934,66389,1985
59110,24092,2016
43919,7235,1978
39242,74238,1974
86324,42196,1978
87502,5870,2019
29679,71423,1983
57980,9024,1981
13348,74658,1974
15538,32512,1986
83434,12022,1971
50099,85527,1978
8924,71393,2012
44343,48714,1986
64329,16646,1983
93814,59944,1978
50914,32278,2003
49491,75712,2023
84754,82576,1973
67687,24099,1990
28336,13169,2020
88847,89833,1970
78842,66855,1982
50005,55636,2004
21022,19020,2013
12328,61391,1998
79758,52186,1979
15482,57779,2021
64355,9649,1996
31917,96830,2015
9048,49072,1973
48838,18792,1984
87208,80104,1979
94044,11207,2001
14958,61818,1992
17490,61429,1997
7959,79103,2004
94175,85472,1972
91320,7097,2006
62971,77271,1994
37176,97835,1989
20695,77213,2011
