VendorNo,PurchOrg
58970,YRKg
58970,lvhz
37233,rXgk
99760,PfZU
74104,ozAB
74104,hjfp
11114,jFpQ
45806,rAQC
45806,hOyp
54211,AQeM
54211,MZdh
47677,ZZbO
47677,FRLn
74158,xIyU
73628,TJEs
73628,Gwny
22671,NIrt
22671,OjDp
88139,Kire
88139,Dmwx
32376,iHzj
51684,FyrH
51684,KWdZ
56892,heRz
34529,BeMK
78302,hCXw
33958,MLhN
67092,xGwV
42847,SuYI
42847,nOxi
46825,dJPi
46825,JGBY
28562,VJLv
28562,DoDn
9583,rkOH
25280,jQUC
80136,usfv
10416,EFYU
10416,DiUq
14954,JcZM
14954,zAbB
98284,ajiw
98284,odeZ
8690,YSpa
60459,LMre
17823,xnWQ
17823,bMiz
34295,xKax
19951,Flzg
88596,fJPL
1576,fhds
93191,cxjS
93191,BUIr
58058,pbri
58058,XgzJ
3769,EDtY
94280,JlkG
94280,bFGE
52754,PIEs
98369,TgaO
37772,dRbK
48079,CXpD
48079,ncBy
26060,dyQS
15645,QLVZ
41423,DZFk
55920,bwfg
55920,tQkl
34900,fbBU
34900,XuLT
2085,MNvT
2085,uHRa
9165,UvGE
9165,NsdM
52709,WvoF
5000,WHQl
15187,MTeW
82846,XYXU
82846,ntKP
81980,qpBH
808,vUxz
808,MdGv
48473,qqkH
73766,TGKH
6357,ttFb
6357,Wvgn
18015,fuWT
66406,tFZM
2097,HkKR
70074,ddow
70074,XrTN
82790,PLII
63691,eSsV
63691,OuRl
71717,nvTn
71717,aqfP
43842,FYfW
43842,ZgrX
56469,FnmZ
56469,JpUn
99604,raYU
20051,EEtR
20051,pPUv
12460,DVbV
12460,JfZB
69658,zaLd
69658,kcxz
1467,kAfk
21137,iwkM
68819,fTyK
80857,RjFJ
80857,gaUq
54254,vjuP
54254,mqJH
85064,pIVB
85064,oekL
29395,xCgA
64937,Vefb
64937,ofiD
5680,LNKJ
5680,ZYfw
80089,tGpk
9687,JjGV
9687,rSRs
24387,IhQt
24387,qqog
41463,ehhf
41463,gjrq
11626,lRLV
11626,HcOz
45585,JqCW
45585,MeQz
35724,dpbu
18699,DVNB
41599,khuW
41599,kRLP
74697,VkVK
74697,XnIi
77808,PTQH
6182,cwcz
6182,RvAH
89982,xLBK
89982,IvGV
33889,UlVZ
33889,TSFd
