VendorNo,PurchOrg,SubRange,Plant
58970,YRKg,ffjfTL,lJck
58970,lvhz,sDdFLF,fKio
58970,lvhz,BpgRyr,HTth
37233,rXgk,eagjRO,icBa
37233,rXgk,yZYIIh,BdIz
99760,PfZU,aYObBB,suFm
99760,PfZU,KSCWCa,bfmF
74104,ozAB,EGSqZp,KXPV
74104,hjfp,jNPPsE,DiVx
74104,hjfp,pOUufC,NEoV
11114,jFpQ,MaSCcz,ipyz
45806,rAQC,yYAlex,KHKj
45806,hOyp,xLBaGn,rwlf
45806,hOyp,YbEYEZ,wPqx
54211,AQeM,MJzNcD,RtZG
54211,AQeM,VqCTBA,FyvR
54211,MZdh,wBosbR,HVtq
47677,ZZbO,MFWWqY,rUdy
47677,ZZbO,kVlBMJ,fSuQ
47677,FRLn,icMBqp,yAZL
74158,xIyU,GrEkqb,iVUG
74158,xIyU,JTlDHV,AAEq
73628,TJEs,JuvLnr,rcEK
73628,Gwny,exoIVx,ZvhD
73628,Gwny,GGKtvH,lsSK
22671,NIrt,KtDLwc,uzMh
22671,NIrt,iAuHHB,flpF
22671,OjDp,ZGgSjf,qlrq
88139,Kire,IVjAHn,xsDr
88139,Dmwx,VFnLSB,sajw
88139,Dmwx,YSYBrk,zYSH
32376,iHzj,aKMPKw,djVw
51684,FyrH,UBYjIn,ochc
51684,KWdZ,OhJINt,zAGS
56892,heRz,TekEQM,bXde
34529,BeMK,VXqxUp,syae
34529,BeMK,ShlKyP,qUct
78302,hCXw,XcWcMb,KaOH
33958,MLhN,qnhHdE,YklQ
33958,MLhN,UJFxEp,ZKVw
67092,xGwV,wyEcCs,vZIT
67092,xGwV,mHZRHY,WehY
42847,SuYI,xrvACL,dKts
42847,SuYI,tijUIk,UOIK
42847,nOxi,IYDNJO,owbQ
42847,nOxi,qIcddo,mLaV
46825,dJPi,jvQCll,TQho
46825,dJPi,HzKnbe,utRg
46825,JGBY,lzKFkD,ZlgU
46825,JGBY,fJVNwg,dbwZ
28562,VJLv,qBmVnA,VAJY
28562,VJLv,uulKPm,DycT
28562,DoDn,FyDnbo,PwKd
9583,rkOH,TcJiiU,yEce
25280,jQUC,weaPXO,vYyB
25280,jQUC,wcqwKV,fxCx
80136,usfv,TLDEWh,ixwB
10416,EFYU,CXwEWh,Xuse
10416,DiUq,DQgvnu,SDFh
10416,DiUq,LRiLUV,FSbl
14954,JcZM,tCHlro,tCFg
14954,JcZM,jhumva,UojM
14954,zAbB,WcVTDJ,zUZo
14954,zAbB,FZPjUO,OIbd
98284,ajiw,JcLvSK,ttab
98284,odeZ,EJbllk,CLXB
98284,odeZ,aTfzRf,pCtt
8690,YSpa,UILoZr,iKTM
8690,YSpa,fxejeG,nyOw
60459,LMre,qAqPmk,OpUR
60459,LMre,iCUOZx,MUcS
17823,xnWQ,PBpXNL,GrTc
17823,bMiz,kjEnHU,RXLP
17823,bMiz,iKXnic,dPFq
34295,xKax,vMWEzE,ETQN
19951,Flzg,jmclSo,NfCW
